"","SPEC","min_adult","estimate","conf.low","conf.high","n","COMMONNAME","Species1_BirdLife","Species2_eBird","Species3_BirdTree","phylo","sex.sel.m","sex.sel.f"
"48","OVEN",2,-0.0226222385285268,-0.0274153147514514,-0.0184246447537671,1271,"Ovenbird","Seiurus aurocapilla","Seiurus aurocapilla","Seiurus aurocapilla","Seiurus_aurocapilla",1,1
"49","BWWA",7,-0.0139466769202185,-0.0175464505911406,-0.010758879636984,353,"Blue-winged Warbler","Vermivora cyanoptera","Vermivora cyanoptera","Vermivora pinus","Vermivora_pinus",0,0
"50","EATO",3,-0.0255468761898286,-0.030668547973026,-0.0208516734704109,471,"Eastern Towhee","Pipilo erythrophthalmus","Pipilo erythrophthalmus","Pipilo erythrophthalmus","Pipilo_erythrophthalmus",1,0
"51","FISP",8,-0.0097514968161547,-0.0123819790426955,-0.00750679188645462,467,"Field Sparrow","Spizella pusilla","Spizella pusilla","Spizella pusilla","Spizella_pusilla",1,0
"52","INBU",8,-0.00333359803152493,-0.00407826461690042,-0.00260924627727398,692,"Indigo Bunting","Passerina cyanea","Passerina cyanea","Passerina cyanea","Passerina_cyanea",2,0
"53","TUTI",2,-0.0800081792232541,-0.0905104908351369,-0.0699265872513618,1307,"Tufted Titmouse","Baeolophus bicolor","Baeolophus bicolor","Baeolophus bicolor","Baeolophus_bicolor",0,0
"54","WOTH",3,-0.00724092045564322,-0.0082544836503744,-0.0063022928783058,1198,"Wood Thrush","Hylocichla mustelina","Hylocichla mustelina","Hylocichla mustelina",NA,NA,NA
"55","CARW",0,-0.0268529586907292,-0.0333880327020534,-0.0208667001161734,1373,"Carolina Wren","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus ludovicianus","Thryothorus_ludovicianus",1,0
"56","KEWA",6,-0.0191015948377356,-0.0222205121169826,-0.0162619987616111,730,"Kentucky Warbler","Geothlypis formosa","Geothlypis formosa","Oporornis formosus","Oporornis_formosus",1,0
"57","LOWA",3,-0.0756295540366297,-0.0952865141240482,-0.0590596993806474,405,"Louisiana Waterthrush","Parkesia motacilla","Parkesia motacilla","Seiurus motacilla","Seiurus_motacilla",1,1
"58","ACFL",0,-0.00817410084851495,-0.0118088910127267,-0.0054454267751228,488,"Acadian Flycatcher","Empidonax virescens","Empidonax virescens","Empidonax virescens","Empidonax_virescens",1,0
"59","CACH",2,-0.0399403392975954,-0.0475128841988669,-0.0332927715788573,922,"Carolina Chickadee","Poecile carolinensis","Poecile carolinensis","Parus carolinensis","Parus_carolinensis",0,0
"60","WEVI",8,-0.00649165561410351,-0.00792631020647643,-0.00527469799374415,884,"White-eyed Vireo","Vireo griseus","Vireo griseus","Vireo griseus","Vireo_griseus",0,0
"61","PABU",19,-0.00321704757705886,-0.00440668936756651,-0.00178104349373843,400,"Painted Bunting","Passerina ciris","Passerina ciris","Passerina ciris","Passerina_ciris",2,0
"62","HOWA",7,-0.00678822441237212,-0.00908653977845036,-0.00512030153926192,475,"Hooded Warbler","Setophaga citrina","Setophaga citrina","Wilsonia citrina","Wilsonia_citrina",1,0
