phylo,sex,family,order_,nimages,black_36_34_31,blue.dark_58_81_126,blue.light_118_156_200,brown.dark_108_89_54,brown.light_171_148_95,green.dark_56_98_48,green.light_138_172_81,grey.dark_90_85_80,grey.light_153_150_143,purple.dark_86_61_123,purple.light_192_139_179,red.dark_161_51_37,red.light_225_113_80,rufous.dark_131_71_46,rufous.light_200_128_80,white_229_228_223,yellow_229_211_134,blue_79_107_151,green_121_157_74,purple_98_70_129,red_177_67_48,rufous_164_98_62,blue.ex_79_104_150,brown.dark.res_108_89_54,brown.light.res_171_148_97,green.ex_129_157_71,purple.res_131_59_135,red.ex_175_67_50,rufous.res_164_98_62,yellow.ex_229_211_134,brown.dark.alt_111_92_56,green.sat_165_186_57,green.unsat_109_149_79,yellow.sat_237_215_81,yellow.unsat_225_209_156,sex.sel.m,sex.sel.f,territoriality,cooperative,Annual.Mean.Temperature,Annual.Precipitation,fruit.nectar.diet,Nocturnal,migration_strategy_class,developmental_mode,log10BodyMass.Value,nest.safety,openness,ForStrat.high
Melanoperdix_niger,female,phasianidae,galliformes,1,0.114201261,0,0,0.031420453,0.026161936,0,0,0.089394781,0.016314466,1.63E-05,0,0.150194336,0.014779371,0.380148284,0.070206095,0.09306921,0.014093477,0,0,1.63E-05,0.164973707,0.450354378,0,0.031420453,0.026161936,0,0,0.164990038,0.450354378,0.014093477,0.021393344,0,0,0,0.014093477,0,0,1,0,259.4165649,2861.195557,0,0,1,0,2.447158031,1,1,-100
Melanoperdix_niger,male,phasianidae,galliformes,1,0.782240521,0,0,0,0,0,0,0.194764567,0.011578361,0,0,0,0,0,0,0.011416551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,259.4165649,2861.195557,0,0,1,0,2.447158031,1,1,-100
Melanoptila_glabrirostris,female,mimidae,passeriformes,1,0.317106189,0.320761358,0.063031353,0,0,0,0,0.188850382,0.078004007,0.013023231,0.001353766,0,0,0,0,0.017869714,0,0.383792711,0,0.014376997,0,0,0.398169708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,257.1434937,1319.112183,0,0,1,1,1.549003262,2,1.333333333,-50
Melanoptila_glabrirostris,male,mimidae,passeriformes,1,0.317106189,0.320761358,0.063031353,0,0,0,0,0.188850382,0.078004007,0.013023231,0.001353766,0,0,0,0,0.017869714,0,0.383792711,0,0.014376997,0,0,0.398169708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,257.1434937,1319.112183,0,0,1,1,1.549003262,2,1.333333333,-50
Melanospiza_richardsoni,female,emberizidae,passeriformes,1,0.043802696,1.54E-05,0,0.390624038,0.192411841,0,0,0.089928611,0.195181242,0,4.62E-05,0.000184627,7.69E-05,0.005108007,0.006385008,0.072404456,0.003831005,1.54E-05,0,4.62E-05,0.000261555,0.011493015,1.54E-05,0.390624038,0.192411841,0,0,0.000307711,0.011493015,0.003831005,0.374484584,0,0,0,0.003831005,0,0,1,0,257.267334,2313.695068,0,0,1,1,1.320146286,3,1.333333333,-85
Melanospiza_richardsoni,male,emberizidae,passeriformes,1,0.563670977,0,0,0.000263882,0.000245033,0,0,0.360199042,0.029762129,1.88E-05,9.42E-05,0.000263882,0.000113092,0.00486297,0.010197158,0.030233347,7.54E-05,0,0,0.000113092,0.000376974,0.015060127,0,0.000263882,0.000245033,0,0,0.000490067,0.015060127,7.54E-05,0.000245033,0,0,0,7.53949E-05,0,0,1,0,257.267334,2313.695068,0,0,1,1,1.320146286,3,1.333333333,-85
Melanotis_caerulescens,female,mimidae,passeriformes,2,0.099077244,0.22529511,0.402107158,0.000131378,0,5.67E-05,3.78E-05,0.154263474,0.081527148,1.89E-05,3.78E-05,7.28E-05,3.59E-05,0.000860057,5.58E-05,0.036422751,0,0.627402268,9.45E-05,5.67E-05,0.000108686,0.000915821,0.627421172,0.000131378,0,9.45E-05,0,0.000146494,0.000915821,0,9.35709E-05,0,9.4518E-05,0,0,0,0,1,0,194.0350952,951.267334,0,0,1,1,1.789369154,2,1.5,-75
Melanotis_caerulescens,male,mimidae,passeriformes,2,0.099077244,0.22529511,0.402107158,0.000131378,0,5.67E-05,3.78E-05,0.154263474,0.081527148,1.89E-05,3.78E-05,7.28E-05,3.59E-05,0.000860057,5.58E-05,0.036422751,0,0.627402268,9.45E-05,5.67E-05,0.000108686,0.000915821,0.627421172,0.000131378,0,9.45E-05,0,0.000146494,0.000915821,0,9.35709E-05,0,9.4518E-05,0,0,0,0,1,0,194.0350952,951.267334,0,0,1,1,1.789369154,2,1.5,-75
Melanotis_hypoleucus,female,mimidae,passeriformes,1,0.073602301,0.159788387,0.290531344,0,0.000179768,0.000179768,7.70E-05,0.120110943,0.068029482,0,0,0.000231131,2.57E-05,0.000308174,2.57E-05,0.286910296,0,0.450319731,0.000256812,0,0.000256812,0.000333856,0.450319731,0,0.000179768,0.000256812,0,0.000256812,0.000333856,0,0,0,0.000256812,0,0,0,0,1,0,200.3671417,1920.984009,0,0,1,1,1.832508913,2,1.5,-100
Melanotis_hypoleucus,male,mimidae,passeriformes,1,0.073602301,0.159788387,0.290531344,0,0.000179768,0.000179768,7.70E-05,0.120110943,0.068029482,0,0,0.000231131,2.57E-05,0.000308174,2.57E-05,0.286910296,0,0.450319731,0.000256812,0,0.000256812,0.000333856,0.450319731,0,0.000179768,0.000256812,0,0.000256812,0.000333856,0,0,0,0.000256812,0,0,0,0,1,0,200.3671417,1920.984009,0,0,1,1,1.832508913,2,1.5,-100
