BirdLife,eBird,Incu1,Incu2,Fldg1,Fldg2,Incu_Sex
Ortalis araucuan,Ortalis araucuan,29,30,,,
Ortalis squamata,Ortalis squamata,21,,,,
Ortalis columbiana,Ortalis columbiana,24,26,,,F
Ortalis motmot,Ortalis motmot,,,,,
,Ortalis ruficeps,,,,,
Ortalis superciliaris,Ortalis superciliaris,,,,,
Penelope argyrotis,Penelope argyrotis,,,,,
Penelope barbata,Penelope barbata,,,,,
Penelope ortoni,Penelope ortoni,,,,,
Penelope montagnii,Penelope montagnii,,,,,
Penelope marail,Penelope marail,29,,,,
Penelope superciliaris,Penelope superciliaris,26,28,,,
Penelope dabbenei,Penelope dabbenei,,,,,
Penelope purpurascens,Penelope purpurascens,,,,,
Penelope perspicax,Penelope perspicax,29,,,,F
Penelope albipennis,Penelope albipennis,,,,,F
Penelope jacquacu,Penelope jacquacu,,,,,
Penelope obscura,Penelope obscura,28,,,,F
,Penelope bridgesi,,,,,
Penelope pileata,Penelope pileata,,,,,
Penelope ochrogaster,Penelope ochrogaster,,,,,
Penelope jacucaca,Penelope jacucaca,,,,,
Pipile pipile,Pipile pipile,,,,,
Pipile cumanensis,Pipile cumanensis,24,28,,,
Pipile grayi,Pipile grayi,,,,,
Pipile cujubi,Pipile cujubi,,,,,
Pipile jacutinga,Pipile jacutinga,28,,,,F
Aburria aburri,Aburria aburri,,,,,
Chamaepetes unicolor,Chamaepetes unicolor,,,,,
Chamaepetes goudotii,Chamaepetes goudotii,,,,,
Penelopina nigra,Penelopina nigra,25,35,,,F
Oreophasis derbianus,Oreophasis derbianus,34,36,,,F
Nothocrax urumutum,Nothocrax urumutum,28,30,,,
Mitu tomentosum,Mitu tomentosum,30,,,,
Mitu salvini,Mitu salvini,32,,,,F
Mitu tuberosum,Mitu tuberosum,30,32,,,F
Mitu mitu,Mitu mitu,30,,,,F
Pauxi pauxi,Pauxi pauxi,29,36,,,
Pauxi unicornis,Pauxi unicornis,,,,,F
Pauxi koepckeae,Pauxi koepckeae,,,,,
Crax rubra,Crax rubra,28,33,,,
