BirdLife,eBird,Incu1,Incu2,Fldg1,Fldg2,Incu_Sex
Xenicus longipes,Xenicus longipes,,,,,B
Xenicus gilviventris,Xenicus gilviventris,18,22,21,26,B
Traversia lyalli,Traversia lyalli,,,,,
Sapayoa aenigma,Sapayoa aenigma,,,,,
Philepitta schlegeli,Philepitta schlegeli,,,,,
Philepitta castanea,Philepitta castanea,,,17,17,F
Neodrepanis coruscans,Neodrepanis coruscans,,,,,B
Neodrepanis hypoxantha,Neodrepanis hypoxantha,,,,,B
Pseudocalyptomena graueri,Pseudocalyptomena graueri,,,,,
Psarisomus dalhousiae,Psarisomus dalhousiae,,,,,B
Corydon sumatranus,Corydon sumatranus,,,,,
Sarcophanops samarensis,Sarcophanops samarensis,,,,,
Sarcophanops steerii,Sarcophanops steerii,,,,,
Serilophus rubropygius,Serilophus rubropygius,,,,,B
Serilophus lunatus,Serilophus lunatus,15,18,,,B
Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,,,,,
Cymbirhynchus affinis,,,,,,
Eurylaimus javanicus,Eurylaimus javanicus,,,,,
Eurylaimus harterti,,,,,,
Eurylaimus ochromalus,Eurylaimus ochromalus,,,,,
Smithornis sharpei,Smithornis sharpei,,,,,
Smithornis rufolateralis,Smithornis rufolateralis,,,,,F
Smithornis capensis,Smithornis capensis,,,,,
Calyptomena viridis,Calyptomena viridis,17,18,22,23,F
Calyptomena hosii,Calyptomena hosii,,,,,
Calyptomena whiteheadi,Calyptomena whiteheadi,,,,,
Hydrornis phayrei,Hydrornis phayrei,,,,,
Hydrornis caeruleus,Hydrornis caeruleus,16,16,16,16,B
Hydrornis oatesi,Hydrornis oatesi,,,19,20,
Hydrornis schneideri,Hydrornis schneideri,,,,,
Hydrornis nipalensis,Hydrornis nipalensis,,,,,B
Hydrornis soror,Hydrornis soror,,,,,
Hydrornis irena,Hydrornis irena,13,13,15,24,B
Hydrornis guajanus,Hydrornis guajanus,13,,15,,B
Hydrornis schwaneri,Hydrornis schwaneri,,,,,
Hydrornis baudii,Hydrornis baudii,,,,,B
Hydrornis cyaneus,Hydrornis cyaneus,,,,,B
Hydrornis gurneyi,Hydrornis gurneyi,,,14,15,B
Hydrornis elliotii,Hydrornis elliotii,,,,,
Erythropitta kochi,Erythropitta kochi,,,,,
Erythropitta erythrogaster,Erythropitta erythrogaster,,,,,B
Erythropitta inspeculata,,,,,,
Erythropitta dohertyi,Erythropitta dohertyi,,,,,
Erythropitta celebensis,Erythropitta celebensis,,,,,B
Erythropitta palliceps,,,,,,
Erythropitta caeruleitorques,,,,,,
Erythropitta rufiventris,Erythropitta rufiventris,,,,,
Erythropitta rubrinucha,Erythropitta rubrinucha,,,,,
Erythropitta macklotii,Erythropitta macklotii,,,,,B
Erythropitta novaehibernicae,Erythropitta novaehibernicae,,,,,
Erythropitta splendida,,,,,,
Erythropitta gazellae,,,,,,
Erythropitta meeki,Erythropitta meeki,,,,,
Erythropitta venusta,Erythropitta venusta,,,,,
Erythropitta granatina,Erythropitta granatina,,,,,
Erythropitta ussheri,Erythropitta ussheri,,,,,
Erythropitta arquata,Erythropitta arquata,,,,,
Pitta angolensis,Pitta angolensis,,,,,
Pitta reichenowi,Pitta reichenowi,,,,,B
Pitta brachyura,Pitta brachyura,17,17,15,15,B
Pitta moluccensis,Pitta moluccensis,18,18,,,B
Pitta megarhyncha,Pitta megarhyncha,15,,14,17,B
Pitta sordida,Pitta sordida,15,16,12,16,B
,Pitta abbotti,,,,,
,Pitta forsteni,,,,,
Pitta novaeguineae,Pitta novaeguineae,,,16,16,"B,F"
Pitta rosenbergii,Pitta rosenbergii,,,16,,
Pitta nympha,Pitta nympha,,,,,B
Pitta versicolor,Pitta versicolor,15,17,14,20,B
Pitta maxima,Pitta maxima,,,,,
Pitta morotaiensis,,,,,,
Pitta concinna,Pitta concinna,,,,,
Pitta elegans,Pitta elegans,,,,,
Pitta vigorsii,Pitta vigorsii,,,,,
Pitta anerythra,Pitta anerythra,,,,,
Pitta steerii,Pitta steerii,,,,,
Pitta superba,Pitta superba,,,,,
Pitta iris,Pitta iris,14,14,13,15,B
Sclerurus mexicanus,Sclerurus mexicanus,,,,,
,Sclerurus obscurior,,,,,
Sclerurus rufigularis,Sclerurus rufigularis,,,,,
Sclerurus guatemalensis,Sclerurus guatemalensis,21,,14,15,B
Sclerurus caudacutus,Sclerurus caudacutus,,,,,
Sclerurus albigularis,Sclerurus albigularis,,,,,
Sclerurus scansor,Sclerurus scansor,,,,,
Sclerurus cearensis,,,,,,
Geositta peruviana,Geositta peruviana,,,,,
Geositta tenuirostris,Geositta tenuirostris,,,,,
Geositta cunicularia,Geositta cunicularia,,,,,B
Geositta punensis,Geositta punensis,,,,,
Geositta poeciloptera,Geositta poeciloptera,,,,,
Geositta crassirostris,Geositta crassirostris,,,,,
Geositta rufipennis,Geositta rufipennis,,,,,
Geositta maritima,Geositta maritima,,,,,
Geositta antarctica,Geositta antarctica,,,,,
Geositta saxicolina,Geositta saxicolina,,,,,
Geositta isabellina,Geositta isabellina,,,,,
Certhiasomus stictolaemus,Certhiasomus stictolaemus,,,,,
Sittasomus griseicapillus,Sittasomus griseicapillus,,,,,F
Sittasomus griseus,,,,,,
Deconychura typica,Deconychura typica,,,,,F
Deconychura longicauda,Deconychura longicauda,,,,,F
Deconychura pallida,Deconychura pallida,,,,,
Dendrocincla tyrannina,Dendrocincla tyrannina,,,29,,
Dendrocincla merula,Dendrocincla merula,,,,,
Dendrocincla homochroa,Dendrocincla homochroa,,,,,
Dendrocincla anabatina,Dendrocincla anabatina,20,21,24,24,F
Dendrocincla fuliginosa,Dendrocincla fuliginosa,,,23,25,F
Dendrocincla turdina,Dendrocincla turdina,,,,,F
Glyphorynchus spirurus,Glyphorynchus spirurus,,,17,17,B
Dendrexetastes rufigula,Dendrexetastes rufigula,,,,,
Nasica longirostris,Nasica longirostris,,,,,
Dendrocolaptes sanctithomae,Dendrocolaptes sanctithomae,,,,,B
Dendrocolaptes punctipectus,,,,,,
Dendrocolaptes certhia,Dendrocolaptes certhia,,,,,B
Dendrocolaptes picumnus,Dendrocolaptes picumnus,,,,,B
Dendrocolaptes hoffmannsi,Dendrocolaptes hoffmannsi,,,,,
Dendrocolaptes platyrostris,Dendrocolaptes platyrostris,14,16,16,18,B
Hylexetastes stresemanni,Hylexetastes stresemanni,,,,,
Hylexetastes perrotii,Hylexetastes perrotii,,,,,
Hylexetastes uniformis,Hylexetastes uniformis,,,,,
Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus,,,21,28,
Xiphocolaptes falcirostris,Xiphocolaptes falcirostris,,,,,B
Xiphocolaptes albicollis,Xiphocolaptes albicollis,17,,18,22,B
Xiphocolaptes major,Xiphocolaptes major,,,,,
Xiphorhynchus obsoletus,Xiphorhynchus obsoletus,,,,,
Xiphorhynchus fuscus,Xiphorhynchus fuscus,,,,,F
Xiphorhynchus atlanticus,Xiphorhynchus atlanticus,,,,,
Xiphorhynchus pardalotus,Xiphorhynchus pardalotus,,,,,
Xiphorhynchus ocellatus,Xiphorhynchus ocellatus,,,,,
Xiphorhynchus beauperthuysii,,,,,,
Xiphorhynchus chunchotambo,,,,,,
Xiphorhynchus elegans,Xiphorhynchus elegans,16,,18,19,
Xiphorhynchus spixii,Xiphorhynchus spixii,,,,,
Xiphorhynchus guttatus,Xiphorhynchus guttatus,,,,,
Xiphorhynchus guttatoides,,,,,,
Xiphorhynchus susurrans,Xiphorhynchus susurrans,18,18,19,20,F
Xiphorhynchus flavigaster,Xiphorhynchus flavigaster,,,,,
Xiphorhynchus lachrymosus,Xiphorhynchus lachrymosus,,,,,
Xiphorhynchus erythropygius,Xiphorhynchus erythropygius,,,,,
Xiphorhynchus aequatorialis,,,,,,
Xiphorhynchus triangularis,Xiphorhynchus triangularis,,,,,
Dendroplex picus,Dendroplex picus,17,,17,18,B
Dendroplex kienerii,Dendroplex kienerii,,,,,
Campylorhamphus trochilirostris,Campylorhamphus trochilirostris,15,,23,,B
Campylorhamphus falcularius,Campylorhamphus falcularius,,,,,B
Campylorhamphus procurvoides,Campylorhamphus procurvoides,,,,,
Campylorhamphus probatus,Campylorhamphus probatus,,,,,
Campylorhamphus multostriatus,Campylorhamphus multostriatus,,,,,
Campylorhamphus pusillus,Campylorhamphus pusillus,,,,,
Drymotoxeres pucheranii,Drymotoxeres pucheranii,,,,,
Drymornis bridgesii,Drymornis bridgesii,14,14,21,21,B
Lepidocolaptes leucogaster,Lepidocolaptes leucogaster,,,,,
Lepidocolaptes souleyetii,Lepidocolaptes souleyetii,15,15,18,19,B
Lepidocolaptes angustirostris,Lepidocolaptes angustirostris,,,,,
Lepidocolaptes affinis,Lepidocolaptes affinis,17,17,19,19,B
Lepidocolaptes neglectus,,17,17,19,19,B
Lepidocolaptes lacrymiger,Lepidocolaptes lacrymiger,,,,,B
Lepidocolaptes squamatus,Lepidocolaptes squamatus,,,,,
Lepidocolaptes falcinellus,Lepidocolaptes falcinellus,15,16,18,19,
Lepidocolaptes albolineatus,Lepidocolaptes albolineatus,,,,,
Lepidocolaptes duidae,Lepidocolaptes duidae,,,,,
Lepidocolaptes fatimalimae,Lepidocolaptes fatimalimae,,,,,
Lepidocolaptes fuscicapillus,Lepidocolaptes fuscicapillus,,,,,
Xenops tenuirostris,Xenops tenuirostris,,,,,
,Xenops mexicanus,15,17,13,14,B
Xenops genibarbis,Xenops genibarbis,15,17,13,14,B
Xenops minutus,Xenops minutus,15,17,13,14,B
Xenops rutilus,Xenops rutilans,,,,,
Berlepschia rikeri,Berlepschia rikeri,,,,,
Microxenops milleri,Microxenops milleri,,,,,
Pygarrhichas albogularis,Pygarrhichas albogularis,,,,,
Ochetorhynchus ruficaudus,Ochetorhynchus ruficaudus,,,,,
Ochetorhynchus andaecola,Ochetorhynchus andaecola,,,,,
Ochetorhynchus phoenicurus,Ochetorhynchus phoenicurus,,,,,
Ochetorhynchus melanurus,Ochetorhynchus melanurus,,,,,
Pseudocolaptes lawrencii,Pseudocolaptes lawrencii,,,29,,
Pseudocolaptes johnsoni,Pseudocolaptes johnsoni,,,,,
Pseudocolaptes boissonneauii,Pseudocolaptes boissonneautii,,,,,
Premnornis guttuliger,Premnornis guttuliger,,,,,
Tarphonomus harterti,Tarphonomus harterti,,,,,
Tarphonomus certhioides,Tarphonomus certhioides,,,,,
Furnarius figulus,Furnarius figulus,20,,,,
Furnarius cinnamomeus,Furnarius cinnamomeus,,,,,
Furnarius longirostris,Furnarius longirostris,,,,,
Furnarius leucopus,Furnarius leucopus,16,17,26,33,
Furnarius torridus,Furnarius torridus,,,,,
Furnarius minor,Furnarius minor,,,,,
Furnarius rufus,Furnarius rufus,14,18,23,26,B
Furnarius cristatus,Furnarius cristatus,,,,,
Lochmias nematura,Lochmias nematura,,,,,
Phleocryptes melanops,Phleocryptes melanops,16,18,16,,
Limnornis curvirostris,Limnornis curvirostris,,,,,
Geocerthia serrana,Geocerthia serrana,,,,,
Upucerthia dumetaria,Upucerthia dumetaria,,,,,
Upucerthia saturatior,Upucerthia saturatior,,,,,
Upucerthia albigula,Upucerthia albigula,,,,,
Upucerthia validirostris,Upucerthia validirostris,,,,,
Cinclodes pabsti,Cinclodes pabsti,,,,,
Cinclodes antarcticus,Cinclodes antarcticus,16,16,25,25,
Cinclodes maculirostris,,16,,25,,
Cinclodes fuscus,Cinclodes fuscus,,,,,
Cinclodes comechingonus,Cinclodes comechingonus,,,,,
Cinclodes albidiventris,Cinclodes albidiventris,,,,,
Cinclodes albiventris,Cinclodes albiventris,,,,,
Cinclodes olrogi,Cinclodes olrogi,,,,,
Cinclodes oustaleti,Cinclodes oustaleti,,,,,
Cinclodes excelsior,Cinclodes excelsior,,,,,
Cinclodes aricomae,Cinclodes aricomae,,,,,
Cinclodes palliatus,Cinclodes palliatus,,,,,
Cinclodes atacamensis,Cinclodes atacamensis,,,,,
Cinclodes patagonicus,Cinclodes patagonicus,,,,,
Cinclodes taczanowskii,Cinclodes taczanowskii,,,,,
Cinclodes nigrofumosus,Cinclodes nigrofumosus,,,18,19,B
Anabazenops dorsalis,Anabazenops dorsalis,,,,,
Anabazenops fuscus,Anabazenops fuscus,,,,,
Megaxenops parnaguae,Megaxenops parnaguae,,,,,
Cichlocolaptes leucophrus,Cichlocolaptes leucophrus,,,,,
Cichlocolaptes holti,,,,,,
Cichlocolaptes mazarbarnetti,Cichlocolaptes mazarbarnetti,,,,,
Heliobletus contaminatus,Heliobletus contaminatus,,,,,
Philydor fuscipenne,Neophilydor fuscipenne,,,,,
Philydor erythrocercum,Neophilydor erythrocercum,,,,,
Philydor novaesi,Philydor novaesi,,,,,
Philydor atricapillus,Philydor atricapillus,,,,,
Philydor pyrrhodes,Philydor pyrrhodes,,,,,
Anabacerthia striaticollis,Anabacerthia striaticollis,,,,,
Anabacerthia variegaticeps,Anabacerthia variegaticeps,,,,,
Anabacerthia ruficaudata,Anabacerthia ruficaudata,,,,,
Anabacerthia amaurotis,Anabacerthia amaurotis,,,,,
Anabacerthia lichtensteini,Anabacerthia lichtensteini,,,,,
Syndactyla rufosuperciliata,Syndactyla rufosuperciliata,,,,,
Syndactyla dimidiata,Syndactyla dimidiata,,,,,
Syndactyla roraimae,Syndactyla roraimae,,,,,
Syndactyla subalaris,Syndactyla subalaris,,,,,
Syndactyla ruficollis,Syndactyla ruficollis,,,,,
Syndactyla guttulata,Syndactyla guttulata,,,,,
Syndactyla ucayalae,Syndactyla ucayalae,,,,,
Syndactyla striata,Syndactyla striata,,,,,
Ancistrops strigilatus,Ancistrops strigilatus,,,,,
Dendroma rufa,Dendroma rufa,,,,,
Dendroma erythroptera,Dendroma erythroptera,,,,,
Clibanornis dendrocolaptoides,Clibanornis dendrocolaptoides,,,,,
Clibanornis rectirostris,Clibanornis rectirostris,17,21,25,,
Clibanornis erythrocephalus,Clibanornis erythrocephalus,16,19,,,B
Clibanornis rubiginosus,Clibanornis rubiginosus,,,,,F
Clibanornis rufipectus,Clibanornis rufipectus,,,,,
Thripadectes ignobilis,Thripadectes ignobilis,,,,,
Thripadectes flammulatus,Thripadectes flammulatus,,,,,
Thripadectes scrutator,Thripadectes scrutator,,,,,
Thripadectes rufobrunneus,Thripadectes rufobrunneus,,,,,"M,B"
Thripadectes melanorhynchus,Thripadectes melanorhynchus,,,,,
Thripadectes holostictus,Thripadectes holostictus,14,17,20,23,
Thripadectes virgaticeps,Thripadectes virgaticeps,,,,,
Automolus rufipileatus,Automolus rufipileatus,,,,,
Automolus melanopezus,Automolus melanopezus,,,,,
Automolus cervinigularis,Automolus cervinigularis,,,,,
Automolus ochrolaemus,Automolus ochrolaemus,,,,,
Automolus exsertus,Automolus exsertus,20,21,18,,B
Automolus virgatus,Automolus virgatus,,,,,
Automolus subulatus,Automolus subulatus,,,,,B
Automolus infuscatus,Automolus infuscatus,,,,,
Automolus paraensis,Automolus paraensis,,,,,
Automolus lammi,Automolus lammi,,,,,
Automolus leucophthalmus,Automolus leucophthalmus,,,,,
Premnoplex brunnescens,Premnoplex brunnescens,27,31,,,B
Premnoplex tatei,Premnoplex tatei,,,19,21,
Premnoplex pariae,,,,,,
Margarornis bellulus,Margarornis bellulus,,,,,
Margarornis rubiginosus,Margarornis rubiginosus,,,,,
Margarornis stellatus,Margarornis stellatus,,,,,
Margarornis squamiger,Margarornis squamiger,,,,,
Aphrastura spinicauda,Aphrastura spinicauda,15,15,,,
Aphrastura masafuerae,Aphrastura masafuerae,,,,,
Sylviorthorhynchus desmurii,Sylviorthorhynchus desmursii,,,,,
Sylviorthorhynchus yanacensis,Sylviorthorhynchus yanacensis,,,,,
Leptasthenura fuliginiceps,Leptasthenura fuliginiceps,,,,,
Leptasthenura platensis,Leptasthenura platensis,14,15,15,16,
Leptasthenura aegithaloides,Leptasthenura aegithaloides,,,,,
Leptasthenura berlepschi,,,,,,
Leptasthenura pallida,,,,,,
Leptasthenura striolata,Leptasthenura striolata,,,,,
Leptasthenura pileata,Leptasthenura pileata,,,,,
Leptasthenura xenothorax,Leptasthenura xenothorax,,,,,
Leptasthenura striata,Leptasthenura striata,,,,,
Leptasthenura andicola,Leptasthenura andicola,16,,,,
Leptasthenura setaria,Leptasthenura setaria,,,,,
Phacellodomus rufifrons,Phacellodomus rufifrons,16,17,21,22,B
Phacellodomus inornatus,Phacellodomus inornatus,16,17,21,22,B
Phacellodomus striaticeps,Phacellodomus striaticeps,,,,,
Phacellodomus sibilatrix,Phacellodomus sibilatrix,,,,,
Phacellodomus dorsalis,Phacellodomus dorsalis,,,,,
Phacellodomus maculipectus,Phacellodomus maculipectus,16,,12,13,
Phacellodomus striaticollis,Phacellodomus striaticollis,16,,12,13,
Phacellodomus ruber,Phacellodomus ruber,,,,,
Phacellodomus erythrophthalmus,Phacellodomus erythrophthalmus,,,,,
Phacellodomus ferrugineigula,Phacellodomus ferrugineigula,,,,,
Hellmayrea gularis,Hellmayrea gularis,,,,,
Anumbius annumbi,Anumbius annumbi,14,16,17,18,B
Coryphistera alaudina,Coryphistera alaudina,,,,,
Asthenes huancavelicae,,,,,,
Asthenes usheri,,,,,,
Asthenes arequipae,,,,,,
Asthenes dorbignyi,Asthenes dorbignyi,,,,,
Asthenes berlepschi,Asthenes berlepschi,,,,,
Asthenes baeri,Asthenes baeri,14,15.5,14,14,
Asthenes luizae,Asthenes luizae,,,,,
Asthenes hudsoni,Asthenes hudsoni,,,,,
Asthenes anthoides,Asthenes anthoides,,,,,
Asthenes urubambensis,Asthenes urubambensis,,,,,
Asthenes flammulata,Asthenes flammulata,,,,,
Asthenes virgata,Asthenes virgata,,,,,
Asthenes maculicauda,Asthenes maculicauda,,,,,
Asthenes wyatti,Asthenes wyatti,,,,,
Asthenes humilis,Asthenes humilis,,,,,
Asthenes modesta,Asthenes modesta,,,,,
Asthenes moreirae,Asthenes moreirae,,,,,
Asthenes pyrrholeuca,Asthenes pyrrholeuca,,,,,
Asthenes harterti,Asthenes harterti,,,,,
Asthenes helleri,Asthenes helleri,,,,,
Asthenes vilcabambae,Asthenes vilcabambae,,,,,
Asthenes ayacuchensis,Asthenes ayacuchensis,,,,,
Asthenes pudibunda,Asthenes pudibunda,,,,,
Asthenes ottonis,Asthenes ottonis,,,,,
Asthenes heterura,Asthenes heterura,,,,,
Asthenes palpebralis,Asthenes palpebralis,,,,,
Asthenes coryi,Asthenes coryi,,,,,
Asthenes perijana,Asthenes perijana,,,,,
Asthenes fuliginosa,Asthenes fuliginosa,,,,,
Asthenes griseomurina,Asthenes griseomurina,,,,,
Acrobatornis fonsecai,Acrobatornis fonsecai,,,,,
Metopothrix aurantiaca,Metopothrix aurantiaca,,,,,
Xenerpestes minlosi,Xenerpestes minlosi,,,,,
Xenerpestes singularis,Xenerpestes singularis,,,,,
Siptornis striaticollis,Siptornis striaticollis,,,,,
Roraimia adusta,Roraimia adusta,,,,,
Thripophaga gutturata,Thripophaga gutturata,,,,,
Thripophaga macroura,Thripophaga macroura,,,,,
Thripophaga cherriei,Thripophaga cherriei,,,,,
Thripophaga amacurensis,Thripophaga amacurensis,,,,,
Thripophaga fusciceps,Thripophaga fusciceps,,,,,
Limnoctites rectirostris,Limnoctites rectirostris,14,22,15,18,B
Limnoctites sulphuriferus,Limnoctites sulphuriferus,,,,,
Cranioleuca berlepschi,Cranioleuca berlepschi,,,,,
Cranioleuca weskei,,,,,,
Cranioleuca marcapatae,Cranioleuca marcapatae,,,,,
Cranioleuca albiceps,Cranioleuca albiceps,,,,,
Cranioleuca vulpina,Cranioleuca vulpina,,,,,
Cranioleuca dissita,Cranioleuca dissita,,,,,
Cranioleuca vulpecula,Cranioleuca vulpecula,,,,,
Cranioleuca subcristata,Cranioleuca subcristata,,,,,
Cranioleuca pyrrhophia,Cranioleuca pyrrhophia,,,13,15,
Cranioleuca henricae,Cranioleuca henricae,,,,,
Cranioleuca obsoleta,Cranioleuca obsoleta,,,,,
Cranioleuca pallida,Cranioleuca pallida,,,,,
Cranioleuca semicinerea,Cranioleuca semicinerea,,,,,
Cranioleuca albicapilla,Cranioleuca albicapilla,,,,,
Cranioleuca erythrops,Cranioleuca erythrops,,,,,
Cranioleuca demissa,Cranioleuca demissa,,,,,
Cranioleuca hellmayri,Cranioleuca hellmayri,,,,,
Cranioleuca curtata,Cranioleuca curtata,,,,,
Cranioleuca antisiensis,Cranioleuca antisiensis,,,,,
Cranioleuca muelleri,Cranioleuca muelleri,,,,,
Pseudasthenes humicola,Pseudasthenes humicola,20,22,14,18,B
Pseudasthenes patagonica,Pseudasthenes patagonica,,,,,
Pseudasthenes steinbachi,Pseudasthenes steinbachi,,,,,
Pseudasthenes cactorum,Pseudasthenes cactorum,,,,,
Spartonoica maluroides,Spartonoica maluroides,13,,11,14,B
Pseudoseisura cristata,Pseudoseisura cristata,,,,,
Pseudoseisura unirufa,Pseudoseisura unirufa,,,,,
Pseudoseisura lophotes,Pseudoseisura lophotes,18,20,18,23,B
Pseudoseisura gutturalis,Pseudoseisura gutturalis,,,,,
Certhiaxis cinnamomeus,Certhiaxis cinnamomeus,14,15,18,,
Certhiaxis mustelinus,Certhiaxis mustelinus,,,,,
Mazaria propinqua,Mazaria propinqua,,,,,
Schoeniophylax phryganophilus,Schoeniophylax phryganophilus,15,16,13,14,B
Synallaxis scutata,Synallaxis scutata,,,,,
Synallaxis cinerascens,Synallaxis cinerascens,,,,,
Synallaxis gujanensis,Synallaxis gujanensis,,,,,
Synallaxis simoni,Synallaxis simoni,,,,,
Synallaxis albilora,Synallaxis albilora,14.6,16,13,14,F
Synallaxis maranonica,Synallaxis maranonica,,,,,
Synallaxis hypochondriaca,Synallaxis hypochondriaca,,,,,
Synallaxis chinchipensis,Synallaxis chinchipensis,,,,,
Synallaxis stictothorax,Synallaxis stictothorax,25,,16,22,
Synallaxis zimmeri,Synallaxis zimmeri,,,,,
Synallaxis brachyura,Synallaxis brachyura,18,19,17,,
Synallaxis subpudica,Synallaxis subpudica,,,,,
Synallaxis hellmayri,Synallaxis hellmayri,,,,,B
Synallaxis ruficapilla,Synallaxis ruficapilla,,,,,
Synallaxis cinerea,Synallaxis cinerea,,,,,
Synallaxis infuscata,Synallaxis infuscata,21,22,14,16,B
Synallaxis moesta,Synallaxis moesta,,,,,
Synallaxis macconnelli,Synallaxis macconnelli,,,,,
Synallaxis cabanisi,Synallaxis cabanisi,,,,,
Synallaxis hypospodia,Synallaxis hypospodia,,,,,
Synallaxis spixi,Synallaxis spixi,,,,,
Synallaxis albigularis,Synallaxis albigularis,,,,,
Synallaxis beverlyae,Synallaxis beverlyae,,,,,
Synallaxis albescens,Synallaxis albescens,15,18,16,,B
Synallaxis frontalis,Synallaxis frontalis,15,16,,,
Synallaxis azarae,Synallaxis azarae,,,,,
Synallaxis courseni,Synallaxis courseni,,,,,
Synallaxis candei,Synallaxis candei,,,,,
Synallaxis erythrothorax,Synallaxis erythrothorax,17,18,,,
Synallaxis kollari,Synallaxis kollari,,,,,
Synallaxis tithys,Synallaxis tithys,,,,,
Synallaxis fuscorufa,Synallaxis fuscorufa,,,,,
Synallaxis unirufa,Synallaxis unirufa,,,,,
Synallaxis castanea,Synallaxis castanea,,,,,
Synallaxis cinnamomea,Synallaxis cinnamomea,,,,,
Synallaxis rutilans,Synallaxis rutilans,,,,,
Synallaxis cherriei,Synallaxis cherriei,,,,,
Euchrepomis callinota,Euchrepomis callinota,,,,,
Euchrepomis humeralis,Euchrepomis humeralis,,,,,
Euchrepomis sharpei,Euchrepomis sharpei,,,,,
Euchrepomis spodioptila,Euchrepomis spodioptila,,,,,
Myrmornis torquata,Myrmornis torquata,,,,,
Myrmornis stictoptera,,,,,,
Pygiptila stellaris,Pygiptila stellaris,,,,,
Thamnistes anabatinus,Thamnistes anabatinus,,,,,B
Thamnistes aequatorialis,,,,,,
,Thamnistes rufescens,20,21,18,,B
Microrhopias quixensis,Microrhopias quixensis,,,,,B
Neoctantes niger,Neoctantes niger,,,,,M
Clytoctantes alixii,Clytoctantes alixii,,,,,
Clytoctantes atrogularis,Clytoctantes atrogularis,,,,,
Epinecrophylla fulviventris,Epinecrophylla fulviventris,18,20,,,B
Epinecrophylla ornata,Epinecrophylla ornata,,,,,
Epinecrophylla hoffmannsi,,,,,,
Epinecrophylla erythrura,Epinecrophylla erythrura,,,,,
Epinecrophylla leucophthalma,Epinecrophylla leucophthalma,,,,,
Epinecrophylla gutturalis,Epinecrophylla gutturalis,,,11,,B
Epinecrophylla haematonota,Epinecrophylla haematonota,,,,,
Epinecrophylla spodionota,Epinecrophylla spodionota,,,,,
Epinecrophylla amazonica,Epinecrophylla amazonica,,,,,
Myrmorchilus strigilatus,Myrmorchilus strigilatus,,,,,
Aprositornis disjuncta,Aprositornis disjuncta,,,,,
Ammonastes pelzelni,Ammonastes pelzelni,,,,,
Myrmophylax atrothorax,Myrmophylax atrothorax,,,,,
Myrmotherula ignota,Myrmotherula ignota,,,,,
Myrmotherula brachyura,Myrmotherula brachyura,,,,,
Myrmotherula surinamensis,Myrmotherula surinamensis,,,,,
Myrmotherula multostriata,Myrmotherula multostriata,,,,,B
Myrmotherula pacifica,Myrmotherula pacifica,,,,,
Myrmotherula cherriei,Myrmotherula cherriei,,,,,
Myrmotherula klagesi,Myrmotherula klagesi,,,,,
Myrmotherula longicauda,Myrmotherula longicauda,,,,,
Myrmotherula ambigua,Myrmotherula ambigua,,,,,
Myrmotherula sclateri,Myrmotherula sclateri,,,,,
Myrmotherula axillaris,Myrmotherula axillaris,16,19,8,12,B
Myrmotherula luctuosa,,,,,,
Myrmotherula schisticolor,Myrmotherula schisticolor,15,,9,,B
Myrmotherula sunensis,Myrmotherula sunensis,,,,,
Myrmotherula minor,Myrmotherula minor,,,,,
Myrmotherula longipennis,Myrmotherula longipennis,,,,,
Myrmotherula urosticta,Myrmotherula urosticta,,,,,
Myrmotherula iheringi,Myrmotherula iheringi,,,,,B
,Myrmotherula fluminensis,,,,,
Myrmotherula grisea,Myrmotherula grisea,,,,,
Myrmotherula unicolor,Myrmotherula unicolor,,,,,
Myrmotherula snowi,Myrmotherula snowi,,,,,
Myrmotherula behni,Myrmotherula behni,,,,,
Myrmotherula menetriesii,Myrmotherula menetriesii,,,,,
Myrmotherula assimilis,Myrmotherula assimilis,,,,,
Terenura maculata,Terenura maculata,,,,,
Terenura sicki,Terenura sicki,,,,,
Myrmochanes hemileucus,Myrmochanes hemileucus,,,,,
Formicivora iheringi,Formicivora iheringi,,,,,
Formicivora erythronotos,Formicivora erythronotos,13,15,10,11,B
Formicivora intermedia,Formicivora intermedia,,,,,
Formicivora grisea,Formicivora grisea,,,,,
Formicivora serrana,Formicivora serrana,,,,,
Formicivora melanogaster,Formicivora melanogaster,16,,,,B
Formicivora rufa,Formicivora rufa,,,8,,B
Formicivora grantsaui,Formicivora grantsaui,,,,,
Formicivora acutirostris,Formicivora acutirostris,,,,,B
Formicivora paludicola,,,,,,B
Dichrozona cincta,Dichrozona cincta,,,,,
Rhopias gularis,Rhopias gularis,17,,11,,
Isleria hauxwelli,Isleria hauxwelli,,,,,B
Isleria guttata,Isleria guttata,,,,,
Thamnomanes ardesiacus,Thamnomanes ardesiacus,11,12,,,
Thamnomanes saturninus,Thamnomanes saturninus,,,,,
Thamnomanes caesius,Thamnomanes caesius,,,,,
Thamnomanes schistogynus,Thamnomanes schistogynus,,,,,
Megastictus margaritatus,Megastictus margaritatus,,,,,B
Sakesphorus cristatus,Sakesphoroides cristatus,,,,,B
Herpsilochmus pileatus,Herpsilochmus pileatus,,,,,
Herpsilochmus atricapillus,Herpsilochmus atricapillus,,,,,
Herpsilochmus stotzi,Herpsilochmus stotzi,,,,,
Herpsilochmus praedictus,Herpsilochmus praedictus,,,,,
