Scientific name,Adult survival,Age at first reproduction,Maximum longevity
Bonasa umbellus,0.41,1.05,9.63
Bonasa bonasia,0.48,1.17,10.47
Bonasa sewerzowi,0.56,1.3,9.84
Lagopus lagopus,0.48,1.02,10.26
Lagopus muta,0.58,1.27,12.04
Lagopus leucura,0.6,1.27,11.37
Dendragapus obscurus,0.62,1.42,16.85
Dendragapus fuliginosus,0.62,1.42,16.61
Falcipennis falcipennis,0.62,1.03,14.63
Falcipennis canadensis,0.7,1.16,15.81
Falcipennis franklinii,0.47,1,13
Tetrao urogallus,0.71,2,20.82
Tetrao urogalloides,0.75,2.17,22.03
Lyrurus tetrix,0.64,1.35,15.62
Lyrurus mlokosiewiczi,0.71,1.49,15.58
Centrocercus urophasianus,0.7,1.6,13.06
Centrocercus minimus,0.79,1.65,12.99
Tympanuchus phasianellus,0.39,0.95,11.82
Tympanuchus cupido,0.46,1.06,12.11
Tympanuchus pallidicinctus,0.47,1.07,9.58
Anhima cornuta,0.84,2.71,23.4
Chauna chavaria,0.83,2.35,22.65
Chauna torquata,0.85,2.61,26.71
Anseranas semipalmata,0.77,2.74,22.5
Dendrocygna viduata,0.65,1.35,13.13
Dendrocygna autumnalis,0.41,0.9,9.94
Dendrocygna guttata,0.63,1.21,10.92
Dendrocygna arborea,0.74,1.58,16.44
Dendrocygna bicolor,0.55,1.13,11.58
Dendrocygna eytoni,0.62,1.24,13.27
Dendrocygna arcuata,0.66,1.31,13.77
Dendrocygna javanica,0.68,1.3,13.65
Thalassornis leuconotus,0.66,1.6,15.15
Heteronetta atricapilla,0.8,2.24,20.33
Nomonyx dominicus,0.69,1.71,15.23
Oxyura jamaicensis,0.62,1.51,12.99
Oxyura ferruginea,0.71,1,14.8
Oxyura vittata,0.74,1.94,18.68
Oxyura australis,0.72,1.8,17.67
Oxyura maccoa,0.7,1.68,16.01
Oxyura leucocephala,0.65,1.61,17.08
Biziura lobata,0.9,2.71,24.03
Malacorhynchus membranaceus,0.72,1.71,13.41
Stictonetta naevosa,0.71,1.93,18.13
Cereopsis novaehollandiae,0.85,2.98,28.87
Coscoroba coscoroba,0.82,2.71,24.27
Cygnus melancoryphus,0.82,2.64,23.46
Cygnus atratus,0.9,3.32,26.04
Cygnus olor,0.85,3.1,28.27
Cygnus buccinator,0.85,3.12,29.33
Cygnus cygnus,0.85,3.09,28.01
Cygnus columbianus,0.85,2.98,27.65
Branta bernicla,0.84,2.85,32.28
Branta leucopsis,0.84,2.9,32.86
Branta ruficollis,0.77,2.33,27.75
Branta hutchinsii,0.79,2.7,30.33
Branta canadensis,0.8,2.7,29.02
Branta sandvicensis,0.84,2.85,26.11
Anser canagicus,0.77,2.61,25.5
Anser caerulescens,0.79,2.82,28
Anser rossii,0.72,2.34,22.27
Anser indicus,0.72,2.39,21.24
Anser anser,0.74,2.59,23.87
Anser cygnoid,0.78,2.77,25.76
Anser fabalis,0.73,2.5,24.05
Anser brachyrhynchus,0.81,2.94,28.72
Anser albifrons,0.76,2.59,25.89
Anser erythropus,0.71,2.29,22.51
Clangula hyemalis,0.73,1.97,19.8
Somateria fischeri,0.87,2.79,24.11
Somateria spectabilis,0.87,2.81,24.73
Somateria mollissima,0.87,2.83,24.5
Polysticta stelleri,0.78,2.64,20.16
Melanitta perspicillata,0.79,2.06,18.2
Melanitta fusca,0.77,2.02,18.57
Melanitta stejnegeri,0.78,2.1,17.21
Melanitta deglandi,0.78,2.24,15.6
Melanitta nigra,0.77,1.96,17.95
Melanitta americana,0.77,2.24,16.75
Bucephala albeola,0.64,2.32,16.39
Bucephala clangula,0.65,2.54,18.4
Bucephala islandica,0.65,2.54,18.27
Mergellus albellus,0.68,1.91,13.12
Lophodytes cucullatus,0.64,1.77,12.89
Mergus merganser,0.6,1.96,17.74
Mergus squamatus,0.53,1.73,15.08
Mergus serrator,0.62,1.98,17.86
Mergus australis,0.6,2,18.04
Mergus octosetaceus,0.7,1.87,15.22
Histrionicus histrionicus,0.78,1.99,18.66
Camptorhynchus labradorius,0.71,1.9,20.34
Neochen jubata,0.65,1.66,15.74
Chloephaga melanoptera,0.68,1.9,18.91
Chloephaga picta,0.73,2.2,23.41
Chloephaga hybrida,0.82,2.59,27.04
Chloephaga poliocephala,0.81,2.52,26.16
Chloephaga rubidiceps,0.72,2.06,22.51
Radjah radjah,0.69,1.69,13.57
Alopochen aegyptiaca,0.66,1.91,19.66
Alopochen mauritiana,0.71,2,25.5
Alopochen kervazoi,0.71,2,25.5
Tadorna tadorna,0.69,2.28,14.1
Tadorna ferruginea,0.63,2.03,15.22
Tadorna cana,0.56,1.79,13.21
Tadorna tadornoides,0.74,2.33,15.08
Tadorna variegata,0.74,2.37,15.93
Tadorna cristata,0.73,2.33,14.78
Plectropterus gambensis,0.61,1.78,14.59
Cairina moschata,0.6,1.52,13.97
Sarkidiornis sylvicola,0.71,1.9,4.6
Sarkidiornis melanotos,0.45,1.3,8.71
Nettapus auritus,0.51,1.13,10.86
Nettapus coromandelianus,0.41,1.05,11.2
Nettapus pulchellus,0.54,1.18,12.34
Callonetta leucophrys,0.5,1.06,12.67
Aix sponsa,0.46,0.98,13.99
Aix galericulata,0.52,1.07,14.93
Chenonetta jubata,0.56,1.36,14.61
Chenonetta finschi,0.71,1.9,14.8
Hymenolaimus malacorhynchos,0.76,2,16.26
Merganetta armata,0.79,2.02,14.68
Pteronetta hartlaubii,0.62,1.13,11.49
Cyanochen cyanoptera,0.74,2.03,18.94
Marmaronetta angustirostris,0.51,1.07,14.26
Asarcornis scutulata,0.65,1.75,17.58
Netta rufina,0.57,1.13,10.76
Netta peposaca,0.52,1.02,9.44
Netta erythrophthalma,0.54,0.97,8.35
Aythya ferina,0.68,1.09,20.52
Aythya americana,0.69,1.15,21.18
Aythya valisineria,0.68,1.13,21.79
Aythya australis,0.69,1.06,18.16
Aythya innotata,0.74,1.02,15.62
Aythya baeri,0.65,1.03,18.63
Aythya nyroca,0.65,1.01,18.6
Aythya novaeseelandiae,0.83,1.4,20.74
Aythya collaris,0.61,0.96,17.98
Aythya fuligula,0.67,1.03,17.91
Aythya marila,0.7,1.17,18.5
Aythya affinis,0.63,1.01,19.68
Rhodonessa caryophyllacea,0.71,1.9,20.34
Salvadorina waigiuensis,0.78,1.94,13.12
Tachyeres patachonicus,0.79,2.49,14.81
Tachyeres leucocephalus,0.9,3.19,15.89
Tachyeres pteneres,0.85,2.86,17.1
Tachyeres brachypterus,0.81,2.49,15.34
Lophonetta specularioides,0.76,2.11,17.18
Speculanas specularis,0.75,2.17,22.49
Amazonetta brasiliensis,0.66,1.58,13.44
Spatula querquedula,0.55,0.89,17.48
Spatula hottentota,0.57,0.91,16.02
Spatula puna,0.57,1.01,18.49
Spatula versicolor,0.57,1.01,19.91
Spatula platalea,0.68,1.19,22.6
Spatula smithii,0.68,1.15,17.44
Spatula rhynchotis,0.62,1.04,16.63
Spatula clypeata,0.59,1.03,18.22
Spatula cyanoptera,0.42,0.76,14.48
Spatula discors,0.53,0.9,19.26
Sibirionetta formosa,0.58,1.4,16.49
Mareca falcata,0.69,1.02,20.47
Mareca strepera,0.54,0.82,17.07
Mareca penelope,0.66,0.97,20.63
Mareca americana,0.68,1.01,20.6
Mareca sibilatrix,0.69,1.08,19.9
Anas sparsa,0.79,1.64,21.3
Anas undulata,0.68,1.34,20.67
Anas melleri,0.64,1.26,19.72
Anas superciliosa,0.65,1.26,20.56
Anas luzonica,0.63,1.17,16.81
Anas zonorhyncha,0.58,1.02,21.89
Anas poecilorhyncha,0.59,1.22,19.52
Anas laysanensis,0.59,1.08,16.86
Anas platyrhynchos,0.5,0.99,16.93
Anas rubripes,0.6,1.24,23.13
Anas fulvigula,0.56,1.08,17.02
Anas wyvilliana,0.59,1.08,16.55
Anas theodori,0.58,1.02,21.89
Anas albogularis,0.58,1.02,21.89
Anas gibberifrons,0.6,1.1,16.32
Anas gracilis,0.68,1.25,19.97
Anas castanea,0.63,1.17,19.75
Anas chlorotis,0.77,1.52,19.61
Anas aucklandica,0.72,1.39,18.59
Anas nesiotis,0.72,1.39,18.72
Anas bernieri,0.67,1.29,19.49
Anas capensis,0.65,1.14,16.19
Anas bahamensis,0.58,1.12,18.23
Anas erythrorhyncha,0.56,1.05,16.35
Anas acuta,0.61,1.22,23.32
Anas eatoni,0.62,1.03,21.84
Anas marecula,0.58,1.02,21.89
Anas georgica,0.66,1.32,21.7
Anas crecca,0.45,0.88,16.84
Anas andium,0.55,0.81,14.94
Anas flavirostris,0.6,1.16,18.86
Tachybaptus ruficollis,0.73,1.56,14.53
Tachybaptus novaehollandiae,0.71,1.77,16.49
Tachybaptus pelzelnii,0.76,1.81,16.78
Tachybaptus rufolavatus,0.78,1.49,17.5
Tachybaptus dominicus,0.67,1.31,11.73
Podilymbus podiceps,0.7,1.26,13.16
Podilymbus gigas,0.78,1.1,13.16
Rollandia rolland,0.77,1.28,16.94
Rollandia microptera,0.82,1.49,18.59
Poliocephalus poliocephalus,0.77,1.93,14.81
Poliocephalus rufopectus,0.8,1.99,14.93
Podiceps major,0.81,2.5,15.91
Podiceps grisegena,0.81,2.04,15.51
Podiceps cristatus,0.77,2.13,14.03
Podiceps auritus,0.73,1.87,13.04
