Scientific name,Adult survival,Age at first reproduction,Maximum longevity
Cranioleuca vulpina,0.64,1.16,7.82
Cranioleuca dissita,0.59,1.14,9.97
Cranioleuca muelleri,0.65,1.04,7.37
Cranioleuca albicapilla,0.66,1.12,8.15
Cranioleuca obsoleta,0.61,1.02,7.75
Cranioleuca pallida,0.61,0.99,7.39
Cranioleuca pyrrhophia,0.64,1.14,8.37
Cranioleuca henricae,0.64,1.06,7.85
Cranioleuca erythrops,0.65,1.07,7.65
Cranioleuca baroni,0.66,1.12,8.07
Cranioleuca antisiensis,0.65,1.07,7.7
Cranioleuca curtata,0.65,1.08,7.75
Cranioleuca demissa,0.65,1.05,7.51
Cranioleuca semicinerea,0.64,1.04,7.59
Cranioleuca hellmayri,0.64,1.04,7.59
Cranioleuca subcristata,0.64,1.04,7.54
Pseudasthenes humicola,0.62,1.13,8.54
Pseudasthenes patagonica,0.6,1.08,8.45
Pseudasthenes steinbachi,0.66,1.21,8.85
Pseudasthenes cactorum,0.64,1.07,7.88
Spartonoica maluroides,0.55,1,7.64
Pseudoseisura unirufa,0.65,1.24,9.5
Pseudoseisura cristata,0.71,1.31,9.53
Pseudoseisura lophotes,0.72,1.5,11.07
Pseudoseisura gutturalis,0.68,1.38,10.84
Mazaria propinqua,0.62,1.06,7.89
Schoeniophylax phryganophilus,0.57,1.02,7.69
Certhiaxis cinnamomeus,0.6,1.06,7.49
Certhiaxis mustelinus,0.6,1,7.48
Synallaxis scutata,0.64,1.15,7.92
Synallaxis cinerascens,0.61,1.07,7.83
Synallaxis gujanensis,0.65,1.19,7.93
Synallaxis maranonica,0.64,1.02,7.29
Synallaxis simoni,0.59,1.14,9.97
Synallaxis albilora,0.59,1.14,9.97
Synallaxis kollari,0.65,1.06,7.59
Synallaxis candei,0.6,1.06,7.42
Synallaxis erythrothorax,0.63,1.13,8.01
Synallaxis tithys,0.65,1.05,7.53
Synallaxis unirufa,0.66,1.08,7.67
Synallaxis castanea,0.64,1.04,7.59
Synallaxis fuscorufa,0.64,1.06,7.69
Synallaxis cinnamomea,0.63,1.15,7.82
Synallaxis rutilans,0.6,1.08,7.35
Synallaxis cherriei,0.65,1.06,7.65
Synallaxis hypochondriaca,0.67,1.15,8.26
Synallaxis zimmeri,0.65,1.16,7.76
Synallaxis stictothorax,0.62,0.97,6.96
Synallaxis chinchipensis,0.59,1.14,9.97
Synallaxis brachyura,0.65,1.19,7.98
Synallaxis subpudica,0.65,1.06,7.62
Synallaxis hellmayri,0.67,1.16,8.37
Synallaxis ruficapilla,0.63,1.13,8.05
Synallaxis cinerea,0.64,1.06,7.78
Synallaxis infuscata,0.67,1.24,8.24
Synallaxis moesta,0.63,1.08,8
Synallaxis cabanisi,0.66,1.13,8.26
Synallaxis macconnelli,0.66,1.1,7.85
Synallaxis hypospodia,0.64,1.07,7.81
Synallaxis spixi,0.56,0.98,7.41
Synallaxis albigularis,0.65,1.05,7.53
Synallaxis beverlyae,0.59,1.14,9.97
Synallaxis albescens,0.57,1.04,7.22
Synallaxis frontalis,0.56,1.05,7.52
Synallaxis azarae,0.63,1.13,7.72
Synallaxis courseni,0.64,1.07,7.82
Neopelma pallescens,0.65,1.08,5.45
Neopelma chrysocephalum,0.65,1.02,5.55
Neopelma aurifrons,0.59,1.12,6.16
Neopelma chrysolophum,0.62,1.03,5.87
Neopelma sulphureiventer,0.6,1.01,5.27
Tyranneutes stolzmanni,0.57,0.98,7.67
Tyranneutes virescens,0.57,0.98,7.61
Xenopipo uniformis,0.63,1.17,9.11
Xenopipo atronitens,0.62,1.14,8.78
Heterocercus aurantiivertex,0.64,1.29,9.65
Heterocercus flavivertex,0.67,1.09,8.53
Heterocercus linteatus,0.66,1.09,8.67
Manacus candei,0.56,1.27,9.95
Manacus aurantiacus,0.55,1.21,9.24
Manacus vitellinus,0.56,1.25,9.48
Manacus manacus,0.59,1.02,11.04
Pipra filicauda,0.69,1.21,8.96
Pipra aureola,0.69,1.22,9.07
Pipra fasciicauda,0.69,1.21,9.46
Machaeropterus deliciosus,0.57,1.16,8.67
Machaeropterus striolatus,0.59,1.14,9.97
Machaeropterus regulus,0.59,1.14,9.97
Machaeropterus pyrocephalus,0.58,1.1,8.45
Pseudopipra pipra,0.59,1.13,8.45
Ceratopipra cornuta,0.71,1.25,10.45
Ceratopipra mentalis,0.67,1.2,9.86
Ceratopipra erythrocephala,0.67,1.17,9.26
Ceratopipra rubrocapilla,0.66,1.15,9.26
Ceratopipra chloromeros,0.68,1.15,9.8
Cryptopipo litae,0.59,1.14,9.97
Cryptopipo holochlora,0.59,1.14,9.97
Chloropipo flavicapilla,0.63,1.17,9.04
Chloropipo unicolor,0.61,1.14,8.92
Lepidothrix suavissima,0.54,1.01,7.91
Lepidothrix serena,0.57,1.14,8.47
Lepidothrix coronata,0.54,1.07,8.05
Lepidothrix nattereri,0.53,1.01,7.98
Lepidothrix vilasboasi,0.51,0.95,7.44
Lepidothrix iris,0.53,1,7.83
Lepidothrix isidorei,0.54,1,7.76
Lepidothrix coeruleocapilla,0.54,1.04,8.24
Ilicura militaris,0.61,0.98,8.14
Masius chrysopterus,0.65,1.11,8.04
Corapipo leucorrhoa,0.6,1.14,8.79
Corapipo gutturalis,0.61,0.9,7.15
Antilophia bokermanni,0.63,1.19,9.34
Antilophia galeata,0.64,1.29,10.15
Chiroxiphia linearis,0.62,1.24,9.63
Chiroxiphia lanceolata,0.63,1.25,9.6
Chiroxiphia pareola,0.68,1.19,8.76
Chiroxiphia boliviana,0.64,1.04,8.49
Chiroxiphia caudata,0.7,1.3,10.2
Ampelioides tschudii,0.74,1.4,11.01
Pipreola chlorolepidota,0.64,1.29,10
Pipreola squamipectus,0.66,1.14,9.97
Pipreola frontalis,0.66,1.14,9.97
Pipreola formosa,0.66,1.41,11.09
Pipreola whitelyi,0.67,1.43,11.07
Pipreola lubomirskii,0.68,1.46,11.17
Pipreola jucunda,0.68,1.55,11.47
Pipreola pulchra,0.67,1.47,11.55
Pipreola aureopectus,0.66,1.4,10.94
Pipreola arcuata,0.72,1.68,12.97
Pipreola intermedia,0.66,1.43,11.34
Pipreola riefferii,0.67,1.52,11.28
Snowornis subalaris,0.74,1.41,11.11
Snowornis cryptolophus,0.74,1.38,10.86
Carpornis cucullata,0.69,1.54,12.55
Carpornis melanocephala,0.68,1.5,12.07
Rupicola peruvianus,0.74,1.86,10.66
Rupicola rupicola,0.78,2.07,11.01
Phoenicircus carnifex,0.72,1.57,12.03
Phoenicircus nigricollis,0.73,1.62,12.49
Zaratornis stresemanni,0.62,1.42,11.18
Phytotoma rara,0.63,1.28,12.49
Phytotoma raimondii,0.64,1.24,10.55
Phytotoma rutila,0.62,1.24,11.68
Phibalura flavirostris,0.64,1.44,11.78
Phibalura boliviana,0.59,1.14,9.97
Doliornis sclateri,0.69,1.48,11.6
Doliornis remseni,0.71,1.49,11.43
Ampelion rubrocristatus,0.71,1.51,11.63
Ampelion rufaxilla,0.71,1.54,11.94
Haematoderus militaris,0.77,1.91,14.58
Querula purpurata,0.85,1.86,13.19
Pyroderus scutatus,0.82,2.42,18.5
Cephalopterus glabricollis,0.81,2.45,18.15
Cephalopterus penduliger,0.82,2.39,17.17
Cephalopterus ornatus,0.86,2.38,16.9
Perissocephalus tricolor,0.82,2.4,17.28
Lipaugus unirufus,0.8,1.76,12.86
Lipaugus ater,0.69,1.56,12.63
Lipaugus conditus,0.69,1.56,12.63
Lipaugus lanioides,0.76,1.86,14.57
Lipaugus streptophorus,0.7,1.47,11.35
Lipaugus vociferans,0.74,1.39,10.92
Lipaugus weberi,0.71,1.53,11.91
Lipaugus fuscocinereus,0.75,1.74,13.28
Lipaugus uropygialis,0.72,1.68,13.32
Procnias albus,0.74,2.54,14.46
Procnias tricarunculatus,0.74,2.54,14.71
Procnias nudicollis,0.77,2.46,16.29
Procnias averano,0.78,2.38,14.79
Cotinga maynana,0.71,1.12,11.77
Cotinga cayana,0.7,1.1,11.46
Cotinga amabilis,0.7,1.13,12.16
Cotinga nattererii,0.7,1.17,12.05
Cotinga ridgwayi,0.7,1.14,11.92
Cotinga maculata,0.69,1.11,11.97
Cotinga cotinga,0.7,1.07,11.08
Porphyrolaema porphyrolaema,0.7,1.48,11.48
Conioptilon mcilhennyi,0.68,1.53,12.54
Gymnoderus foetidus,0.81,2.3,16.89
Xipholena punicea,0.7,1.75,12.68
Xipholena lamellipennis,0.64,1.48,10.85
Xipholena atropurpurea,0.69,1.71,13.19
Carpodectes hopkei,0.73,1.64,12.61
Carpodectes antoniae,0.76,1.88,13.92
Carpodectes nitidus,0.77,1.89,14.27
Oxyruncus cristatus,0.68,1.47,11.28
Onychorhynchus mexicanus,0.66,1.21,8.19
Onychorhynchus occidentalis,0.61,1.03,7.61
Onychorhynchus coronatus,0.66,1.17,7.68
Onychorhynchus swainsoni,0.58,1.03,8.05
Terenotriccus erythrurus,0.57,1.04,6.78
Myiobius villosus,0.47,0.99,7.4
Myiobius sulphureipygius,0.53,1.13,7.67
Myiobius barbatus,0.53,1.14,7.47
Myiobius atricaudus,0.52,1.1,7.29
Iodopleura isabellae,0.66,1.1,7.9
Iodopleura fusca,0.65,1.05,7.51
Iodopleura pipra,0.63,1.2,9.44
Tityra inquisitor,0.64,1.37,10.64
Tityra cayana,0.64,1.5,11.32
Tityra braziliensis,0.59,1.14,9.97
Tityra semifasciata,0.7,1.6,12.18
Tityra leucura,0.59,1.14,9.97
Xenopsaris albinucha,0.56,1.02,7.16
Pachyramphus versicolor,0.62,1.15,7.58
Pachyramphus xanthogenys,0.58,1.14,9.97
Pachyramphus griseigularis,0.58,1.14,9.97
Pachyramphus viridis,0.58,1.14,9.97
Pachyramphus spodiurus,0.62,1.08,7.7
Pachyramphus rufus,0.59,1.11,7.42
Pachyramphus minor,0.66,1.21,9.53
Pachyramphus aglaiae,0.6,1.19,9.56
Pachyramphus niger,0.67,1.31,10.34
Pachyramphus homochrous,0.66,1.21,9.59
Pachyramphus validus,0.59,1.25,9
Pachyramphus surinamus,0.63,1.1,7.8
Pachyramphus cinnamomeus,0.59,1.12,7.82
Pachyramphus castaneus,0.57,1.05,7.98
Pachyramphus uropygialis,0.58,1.14,9.97
Pachyramphus major,0.58,1.14,9.97
Pachyramphus marginatus,0.62,1.06,8.36
Pachyramphus polychopterus,0.59,1.15,8.82
Pachyramphus albogriseus,0.62,1.04,8.19
Schiffornis major,0.69,1.17,9.24
Schiffornis virescens,0.7,1.3,10.15
Schiffornis olivacea,0.72,1.14,9.97
Schiffornis stenorhyncha,0.72,1.14,9.97
Schiffornis turdina,0.72,1.14,9.97
Schiffornis aenea,0.72,1.14,9.97
Schiffornis veraepacis,0.72,1.14,9.97
Laniocera rufescens,0.64,1.36,11.14
Laniocera hypopyrra,0.73,1.51,9.88
Laniisoma buckleyi,0.59,1.14,9.97
Laniisoma elegans,0.59,1.14,9.97
Calyptura cristata,0.55,0.82,6.84
Neopipo cinnamomea,0.61,0.92,6.58
Platyrinchus saturatus,0.58,0.98,6.95
Platyrinchus cancrominus,0.58,1.08,7.44
Platyrinchus albogularis,0.51,1.14,4
Platyrinchus mystaceus,0.51,1.14,4
Platyrinchus coronatus,0.58,1.08,7.06
Platyrinchus flavigularis,0.57,0.97,6.92
Platyrinchus platyrhynchos,0.58,1,7.15
Platyrinchus leucoryphus,0.61,1.21,8.54
Piprites griseiceps,0.64,1.03,8.33
Piprites chloris,0.65,1.06,7.57
Piprites pileata,0.59,1.04,7.89
Tachuris rubrigastra,0.52,0.93,7.13
Pseudotriccus pelzelni,0.63,0.98,6.98
Pseudotriccus simplex,0.6,0.96,7.05
Pseudotriccus ruficeps,0.63,0.99,7.12
Corythopis torquatus,0.66,1.18,7.73
Corythopis delalandi,0.64,1.14,8.06
Phylloscartes flavovirens,0.61,0.94,6.83
Phylloscartes ventralis,0.58,0.98,7.16
Phylloscartes virescens,0.62,0.94,6.66
Phylloscartes beckeri,0.6,0.94,6.9
Phylloscartes kronei,0.53,0.89,7.07
Phylloscartes gualaquizae,0.61,0.92,6.59
Phylloscartes nigrifrons,0.62,0.95,6.81
Phylloscartes ceciliae,0.6,0.92,6.64
Phylloscartes superciliaris,0.6,0.92,6.64
Phylloscartes flaviventris,0.6,0.92,6.74
Phylloscartes parkeri,0.6,0.93,6.79
Phylloscartes roquettei,0.57,0.87,6.48
Phylloscartes paulista,0.57,0.91,6.89
Phylloscartes oustaleti,0.6,0.97,7.25
Phylloscartes difficilis,0.57,0.9,6.8
Phylloscartes sylviolus,0.58,0.92,6.98
Pogonotriccus poecilotis,0.61,0.92,6.59
Pogonotriccus chapmani,0.61,0.93,6.65
Pogonotriccus ophthalmicus,0.62,0.95,6.81
Pogonotriccus venezuelanus,0.61,0.95,6.89
Pogonotriccus lanyoni,0.61,0.92,6.67
Pogonotriccus orbitalis,0.59,0.9,6.58
Pogonotriccus eximius,0.58,0.91,6.88
Mionectes striaticollis,0.66,1.12,8.68
Mionectes olivaceus,0.58,1.16,9.32
Mionectes galbinus,0.56,1.14,8.5
Mionectes oleagineus,0.54,1.01,8.1
Mionectes macconnelli,0.63,1.08,7.47
Mionectes roraimae,0.56,1.14,8.5
Mionectes rufiventris,0.63,1.06,8.83
Leptopogon amaurocephalus,0.62,1.09,7.42
Leptopogon superciliaris,0.64,1.13,7.37
Leptopogon albidiventer,0.59,1.14,9.97
Leptopogon rufipectus,0.64,1.02,7.32
Leptopogon taczanowskii,0.62,0.99,7.21
Taeniotriccus andrei,0.62,0.96,6.78
Cnipodectes subbrunneus,0.68,1.14,8.1
Cnipodectes superrufus,0.69,1.24,8.98
Rhynchocyclus brevirostris,0.64,1.26,8.72
Rhynchocyclus aequinoctialis,0.57,1.14,9.97
Rhynchocyclus olivaceus,0.57,1.14,9.97
Rhynchocyclus pacificus,0.68,1.15,8.21
Rhynchocyclus fulvipectus,0.67,1.25,8.41
Tolmomyias sulphurescens,0.64,1.13,7.62
Tolmomyias traylori,0.63,0.99,7.09
Tolmomyias assimilis,0.66,1.07,7.63
Tolmomyias flavotectus,0.59,1.14,9.97
Tolmomyias poliocephalus,0.64,1.12,7.31
Tolmomyias viridiceps,0.59,1.14,9.97
Tolmomyias flaviventris,0.59,1.14,9.97
Myiornis auricularis,0.55,0.85,6.44
Myiornis albiventris,0.57,0.86,6.32
Myiornis atricapillus,0.6,0.98,6.53
Myiornis ecaudatus,0.59,0.97,6.38
Oncostoma cinereigulare,0.61,1.01,6.93
Oncostoma olivaceum,0.61,1.01,6.77
Lophotriccus pileatus,0.62,1.04,6.76
Lophotriccus vitiosus,0.61,1.02,6.62
Lophotriccus eulophotes,0.58,0.87,6.37
Lophotriccus galeatus,0.59,0.97,6.41
Atalotriccus pilaris,0.59,0.9,6.49
Hemitriccus minor,0.6,0.91,6.59
Hemitriccus cohnhafti,0.59,1.14,9.97
Hemitriccus spodiops,0.58,0.91,6.69
Hemitriccus flammulatus,0.61,0.97,7.07
Hemitriccus diops,0.6,0.97,7.25
Hemitriccus obsoletus,0.64,1.13,8.1
Hemitriccus josephinae,0.63,0.98,6.98
Hemitriccus zosterops,0.62,0.94,6.68
Hemitriccus griseipectus,0.61,0.94,6.84
Hemitriccus orbitatus,0.59,0.96,7.21
Hemitriccus iohannis,0.62,0.97,6.98
Hemitriccus striaticollis,0.63,1.07,7.18
Hemitriccus nidipendulus,0.62,1.04,7.25
Hemitriccus margaritaceiventer,0.62,1.06,7.28
Hemitriccus inornatus,0.62,0.93,6.62
Hemitriccus minimus,0.59,0.9,6.53
Hemitriccus granadensis,0.62,1.05,6.81
Hemitriccus cinnamomeipectus,0.6,0.91,6.57
Hemitriccus mirandae,0.61,0.94,6.76
Hemitriccus kaempferi,0.53,0.9,7.12
Hemitriccus rufigularis,0.63,1.09,7.34
Hemitriccus furcatus,0.59,0.94,7.04
Poecilotriccus ruficeps,0.62,0.94,6.73
Poecilotriccus luluae,0.6,0.91,6.55
Poecilotriccus albifacies,0.6,0.92,6.78
Poecilotriccus capitalis,0.56,0.89,6.63
Poecilotriccus senex,0.6,0.9,6.49
Poecilotriccus russatus,0.56,0.89,6.65
Poecilotriccus plumbeiceps,0.58,0.95,6.79
Poecilotriccus fumifrons,0.6,0.89,6.39
Poecilotriccus latirostris,0.55,0.89,6.75
Poecilotriccus sylvia,0.61,1.03,6.81
Poecilotriccus calopterus,0.61,0.91,6.52
Poecilotriccus pulchellus,0.59,0.9,6.61
Todirostrum maculatum,0.64,1.07,6.98
Todirostrum poliocephalum,0.57,0.9,6.75
Todirostrum cinereum,0.58,0.96,6.51
Todirostrum viridanum,0.59,0.9,6.58
Todirostrum nigriceps,0.65,1.09,7.08
Todirostrum pictum,0.6,0.9,6.41
Todirostrum chrysocrotaphum,0.61,1.02,6.8
Myiotriccus phoenicurus,0.59,1.14,9.97
Myiotriccus ornatus,0.59,1.14,9.97
Nephelomyias pulcher,0.62,0.96,6.79
Nephelomyias lintoni,0.62,0.96,6.88
Nephelomyias ochraceiventris,0.61,0.97,7.12
Pyrrhomyias cinnamomeus,0.63,1.1,7.25
Hirundinea bellicosa,0.59,1.14,9.97
Hirundinea ferruginea,0.59,1.14,9.97
Zimmerius cinereicapilla,0.63,1,7.24
Zimmerius villarejoi,0.56,0.96,7.53
Zimmerius chicomendesi,0.59,1.14,9.97
Zimmerius vilissimus,0.61,1.07,8.2
Zimmerius parvus,0.59,1.14,9.97
Zimmerius petersi,0.59,1.14,9.97
Zimmerius improbus,0.59,1.14,9.97
Zimmerius chrysops,0.63,0.97,6.95
Zimmerius albigularis,0.63,0.97,6.9
Zimmerius viridiflavus,0.61,0.96,6.93
Zimmerius gracilipes,0.61,1.03,6.78
Zimmerius acer,0.6,0.9,6.45
Zimmerius bolivianus,0.61,0.98,7.24
Stigmatura napensis,0.58,0.92,6.88
Stigmatura bahiae,0.59,1.14,9.97
Stigmatura budytoides,0.61,1.12,7.97
Inezia tenuirostris,0.57,0.84,6.18
Inezia inornata,0.54,0.96,7.43
Inezia subflava,0.61,0.93,6.67
Inezia caudata,0.6,0.91,6.62
Euscarthmus meloryphus,0.58,1.02,7.01
Euscarthmus fulviceps,0.59,1.14,9.97
Euscarthmus rufomarginatus,0.57,0.87,6.47
Ornithion semiflavum,0.58,0.89,6.58
Ornithion brunneicapillus,0.6,0.9,6.52
Ornithion inerme,0.6,0.9,6.47
Camptostoma imberbe,0.57,0.96,6.41
Camptostoma obsoletum,0.57,1.01,6.44
Elaenia ruficeps,0.7,1.24,9.5
Elaenia cristata,0.7,1.21,10.43
Elaenia gigas,0.68,1.12,11.35
Elaenia dayi,0.7,1.1,9.63
Elaenia sordida,0.72,1.14,13.58
Elaenia obscura,0.72,1.14,13.58
Elaenia strepera,0.67,1.25,10.29
Elaenia flavogaster,0.72,1.29,11.11
Elaenia parvirostris,0.63,1.13,9.55
Elaenia pelzelni,0.66,1.03,10.35
Elaenia spectabilis,0.7,1.31,11.83
Elaenia ridleyana,0.73,1.22,10.57
Elaenia brachyptera,0.72,1.14,13.58
Elaenia chiriquensis,0.72,1.14,13.58
Elaenia mesoleuca,0.65,1.16,10.75
Elaenia pallatangae,0.7,1.21,10.41
Elaenia olivina,0.72,1.14,13.58
Elaenia albiceps,0.65,1.13,10.82
Elaenia frantzii,0.66,1.26,11.27
Elaenia martinica,0.69,1.2,10.9
Elaenia cherriei,0.72,1.14,13.58
Elaenia fallax,0.72,1.14,13.58
Tyrannulus elatus,0.63,1.06,6.87
Myiopagis caniceps,0.61,1.11,7.67
Myiopagis cinerea,0.59,1.14,9.97
Myiopagis parambae,0.59,1.14,9.97
Myiopagis olallai,0.64,1,7.15
Myiopagis gaimardii,0.65,1.14,7.5
Myiopagis subplacens,0.65,1.06,7.53
Myiopagis flavivertex,0.64,1,7.08
Myiopagis viridicata,0.61,1.13,7.52
Myiopagis cotta,0.6,1.05,7.44
Suiriri suiriri,0.59,1.09,7.81
Suiriri affinis,0.66,1.13,8.31
Capsiempis flaveola,0.62,1.04,6.92
Phyllomyias fasciatus,0.61,1.11,7.59
Phyllomyias weedeni,0.6,0.94,6.89
Phyllomyias burmeisteri,0.57,0.96,7.98
Phyllomyias zeledoni,0.59,1.14,9.97
Phyllomyias virescens,0.62,1.06,7.52
Phyllomyias reiseri,0.59,0.91,6.75
Phyllomyias urichi,0.61,0.95,6.9
Phyllomyias sclateri,0.59,0.95,7.08
Phyllomyias griseocapilla,0.58,0.92,6.95
Phyllomyias griseiceps,0.6,0.91,6.49
Phyllomyias plumbeiceps,0.61,0.92,7.31
Phyllomyias nigrocapillus,0.62,0.96,6.79
Phyllomyias cinereiceps,0.62,0.96,6.84
Phyllomyias uropygialis,0.61,0.95,6.86
Phaeomyias tumbezana,0.59,1.14,9.97
Phaeomyias murina,0.59,1.14,9.97
Nesotriccus ridgwayi,0.68,1.21,7.8
Pseudelaenia leucospodia,0.62,1.09,7.31
Mecocerculus poecilocercus,0.61,0.92,6.57
Mecocerculus hellmayri,0.59,0.92,6.89
Mecocerculus stictopterus,0.62,0.95,6.85
Mecocerculus leucophrys,0.64,1.12,7.4
Mecocerculus calopterus,0.6,0.9,6.48
Mecocerculus minor,0.63,0.98,7.03
Anairetes nigrocristatus,0.55,0.86,6.5
Anairetes reguloides,0.57,0.87,6.42
Anairetes alpinus,0.61,0.95,6.89
Anairetes flavirostris,0.55,0.96,6.98
Anairetes parulus,0.55,0.96,7.23
Anairetes fernandezianus,0.55,0.9,6.94
Polystictus pectoralis,0.53,0.93,6.67
Polystictus superciliaris,0.62,1.03,7.09
Culicivora caudacuta,0.54,0.89,6.9
Pseudocolopteryx sclateri,0.59,1.05,7.5
Pseudocolopteryx acutipennis,0.54,0.95,6.75
Pseudocolopteryx dinelliana,0.55,0.97,7.22
Pseudocolopteryx flaviventris,0.54,0.96,7.24
Pseudocolopteryx citreola,0.59,1.14,9.97
Serpophaga cinerea,0.62,1.06,6.93
Serpophaga hypoleuca,0.6,1,6.54
Serpophaga nigricans,0.55,0.98,7.25
Serpophaga subcristata,0.55,0.96,6.89
Serpophaga griseicapilla,0.59,1.14,9.97
Uromyias agilis,0.63,0.97,6.87
Uromyias agraphia,0.61,0.96,7.01
Muscigralla brevicauda,0.56,0.98,6.93
Attila phoenicurus,0.64,1.21,6.1
Attila cinnamomeus,0.71,1.35,9.93
Attila torridus,0.71,1.26,6.6
Attila citriniventris,0.7,1.22,5.8
Attila bolivianus,0.72,1.44,9.59
Attila rufus,0.69,1.28,6.36
Attila spadiceus,0.69,1.3,9.66
Legatus leucophaius,0.57,1.2,9.31
Ramphotrigon megacephalum,0.66,1.18,7.88
Ramphotrigon ruficauda,0.63,1.15,7.71
Ramphotrigon fuscicauda,0.67,1.24,8.34
Deltarhynchus flammulatus,0.63,1.13,8.07
Pitangus sulphuratus,0.65,1.33,8.77
Philohydor lictor,0.67,1.27,8.45
Machetornis rixosa,0.67,1.33,9.49
Tyrannopsis sulphurea,0.74,1.53,9.95
Megarynchus pitangua,0.71,1.55,10.33
Myiodynastes hemichrysus,0.69,1.08,9.96
Myiodynastes chrysocephalus,0.72,1.14,10.57
Myiodynastes bairdii,0.6,1.03,10.07
Myiodynastes luteiventris,0.67,1.09,10.74
Myiodynastes solitarius,0.59,1,9.97
Myiodynastes maculatus,0.59,1,9.97
Myiozetetes cayanensis,0.67,1.27,8.48
Myiozetetes similis,0.64,1.22,9.16
Myiozetetes granadensis,0.66,1.26,8.4
Myiozetetes luteiventris,0.62,1.02,8.4
Conopias albovittatus,0.69,1.31,8.72
Conopias parvus,0.68,1.27,8.25
Conopias trivirgatus,0.66,1.15,8.41
Conopias cinchoneti,0.68,1.12,8.84
Phelpsia inornata,0.7,1.36,9.04
Empidonomus varius,0.65,1.29,8.79
Griseotyrannus aurantioatrocristatus,0.64,1.29,9.17
Tyrannus niveigularis,0.66,1.05,8.81
Tyrannus albogularis,0.65,0.99,8.31
Tyrannus melancholicus,0.63,1.05,8.13
Tyrannus couchii,0.63,1.06,8.61
Tyrannus vociferans,0.64,1.09,9.1
Tyrannus crassirostris,0.66,1.14,9.26
Tyrannus verticalis,0.63,1.06,9.28
Tyrannus tyrannus,0.61,1.02,9.22
Tyrannus dominicensis,0.67,1.14,8.99
Tyrannus caudifasciatus,0.69,1.12,8.93
Tyrannus cubensis,0.76,1.33,11.71
Tyrannus forficatus,0.59,0.98,8.54
Tyrannus savana,0.66,1.1,8.55
Rhytipterna holerythra,0.69,1.24,9
Rhytipterna simplex,0.69,1.21,8.62
Rhytipterna immunda,0.68,1.17,8.42
Casiornis rufus,0.58,1.1,8.55
Casiornis fuscus,0.66,1.1,7.92
Sirystes albogriseus,0.59,1.14,9.97
Sirystes albocinereus,0.59,1.14,9.97
Sirystes sibilator,0.59,1.14,9.97
Sirystes subcanescens,0.59,1.14,9.97
Myiarchus semirufus,0.75,0.99,9.32
Myiarchus swainsoni,0.71,1.07,10.67
Myiarchus barbirostris,0.67,0.95,9.6
Myiarchus tuberculifer,0.69,1,9.47
Myiarchus phaeocephalus,0.76,1.02,9.54
Myiarchus panamensis,0.78,1.19,12.58
Myiarchus ferox,0.78,1.16,12.26
Myiarchus venezuelensis,0.76,1.02,10.69
Myiarchus cephalotes,0.76,1.02,9.55
Myiarchus validus,0.75,1.11,12.67
Myiarchus sagrae,0.7,0.98,10.17
Myiarchus stolidus,0.72,1.03,10.48
Myiarchus antillarum,0.71,1.02,10.41
Myiarchus oberi,0.76,1.12,12.49
Myiarchus crinitus,0.62,0.93,10.85
Myiarchus yucatanensis,0.73,0.97,9.4
Myiarchus tyrannulus,0.71,1.1,10.8
Myiarchus nugator,0.77,1.2,11.75
Myiarchus apicalis,0.76,1.02,10.5
Myiarchus cinerascens,0.68,1.02,11.16
Myiarchus nuttingi,0.72,0.99,11.42
Myiarchus magnirostris,0.74,1.02,9.81
Colonia colonus,0.65,1.19,8.14
Myiophobus crypterythrus,0.59,1.14,9.97
Myiophobus fasciatus,0.59,1.14,9.97
Myiophobus rufescens,0.59,1.14,9.97
Myiophobus cryptoxanthus,0.62,0.96,6.89
Myiophobus flavicans,0.64,1.01,7.17
Myiophobus phoenicomitra,0.63,0.98,6.98
Myiophobus inornatus,0.61,0.99,7.26
Myiophobus roraimae,0.64,1.02,7.34
Silvicultrix frontalis,0.62,0.97,6.95
Silvicultrix jelskii,0.58,0.95,7.18
Silvicultrix pulchella,0.62,1,7.32
Silvicultrix diadema,0.56,0.97,6.67
Colorhamphus parvirostris,0.57,1.03,8.15
Ochthoeca cinnamomeiventris,0.59,0.96,7.14
Ochthoeca nigrita,0.59,1.14,9.97
Ochthoeca thoracica,0.59,1.14,9.97
Ochthoeca rufipectoralis,0.62,0.97,6.93
Ochthoeca fumicolor,0.65,1.06,7.61
Ochthoeca superciliosa,0.59,1.14,9.97
Ochthoeca oenanthoides,0.59,1.03,7.98
Ochthoeca piurae,0.59,0.97,7.29
Ochthoeca leucophrys,0.69,1.25,8.48
Ochthoeca salvini,0.63,1,7.22
Sublegatus arenarum,0.65,1.14,7.63
Sublegatus obscurior,0.4,0.76,5.71
Sublegatus modestus,0.63,1.17,8.18
Pyrocephalus rubinus,0.59,1.04,6.61
Pyrocephalus nanus,0.56,1,5.5
Pyrocephalus dubius,0.56,1,5.5
Fluvicola pica,0.63,1.1,7.39
Fluvicola albiventer,0.59,1.09,7.53
Fluvicola nengeta,0.61,1.07,8.17
Arundinicola leucocephala,0.61,1.08,7.42
Gubernetes yetapa,0.68,1.34,10.36
Muscipipra vetula,0.63,1.24,8.99
Alectrurus tricolor,0.6,1.06,7.85
Alectrurus risora,0.62,1.22,8.9
Lessonia rufa,0.64,1.18,9.29
Lessonia oreas,0.56,1.04,7.54
Hymenops perspicillatus,0.69,1.2,9.03
