Avibase.ID,Species1_BirdLife,Species2_eBird,Species3_BirdTree
AVIBASE-6166BBAF,Poospiza nigrorufa,Poospiza nigrorufa,Poospiza nigrorufa
AVIBASE-8C5C626F,Poospiza ornata,Poospiza ornata,Poospiza ornata
AVIBASE-EB4AE071,Poospiza rubecula,Poospiza rubecula,Poospiza rubecula
AVIBASE-F7BAA7DC,Poospiza rufosuperciliaris,Poospiza rufosuperciliaris,Hemispingus rufosuperciliaris
AVIBASE-8EF24ACB,Poospiza whitii,Poospiza whitii,Poospiza whitii
AVIBASE-86A7F715,Poospizopsis caesar,Poospizopsis caesar,Poospiza caesar
AVIBASE-F8CFE8C9,Poospizopsis hypocondria,Poospizopsis hypochondria,Poospiza hypochondria
AVIBASE-53288666,Porphyrio alleni,Porphyrio alleni,Porphyrio alleni
AVIBASE-1CE84B66,Porphyrio flavirostris,Porphyrio flavirostris,Porphyrio flavirostris
AVIBASE-6001C6A8,Porphyrio hochstetteri,Porphyrio hochstetteri,Porphyrio hochstetteri
AVIBASE-72A4F8EB,Porphyrio martinicus,Porphyrio martinica,Porphyrio martinica
AVIBASE-B9E73FA9,Porphyrio porphyrio,Porphyrio indicus,Porphyrio porphyrio
AVIBASE-865C039E,Porphyrio porphyrio,Porphyrio madagascariensis,Porphyrio porphyrio
AVIBASE-AC1E791E,Porphyrio porphyrio,NA,Porphyrio porphyrio
AVIBASE-43AF4EA8,Porphyriops melanops,Porphyriops melanops,Gallinula melanops
AVIBASE-0B8453B7,Porphyrolaema porphyrolaema,Porphyrolaema porphyrolaema,Porphyrolaema porphyrolaema
AVIBASE-17B1CAD5,Porphyrospiza caerulescens,Rhopospina caerulescens,Porphyrospiza caerulescens
AVIBASE-65A6922D,Porzana albicollis,Mustelirallus albicollis,Porzana albicollis
AVIBASE-2CC21529,Porzana carolina,Porzana carolina,Porzana carolina
AVIBASE-BE9214E6,Porzana fasciata,Anurolimnas fasciatus,Anurolimnas fasciatus
AVIBASE-C1F82F7A,Porzana fluminea,Porzana fluminea,Porzana fluminea
AVIBASE-460708F9,Porzana porzana,Porzana porzana,Porzana porzana
AVIBASE-B023E378,Premnoplex brunnescens,Premnoplex brunnescens,Premnoplex brunnescens
AVIBASE-74407F20,Premnoplex pariae,Premnoplex tatei,Premnoplex tatei
AVIBASE-01450385,Premnoplex tatei,Premnoplex tatei,Premnoplex tatei
AVIBASE-039C6E39,Premnornis guttuliger,Premnornis guttuliger,Premnornis guttuligera
AVIBASE-50E2CC40,Primolius auricollis,Primolius auricollis,Primolius auricollis
AVIBASE-5162EBDF,Primolius couloni,Primolius couloni,Primolius couloni
AVIBASE-A6B715E5,Primolius maracana,Primolius maracana,Primolius maracana
AVIBASE-9A72741D,Prinia atrogularis,Prinia atrogularis,Prinia atrogularis
AVIBASE-C54D2FEE,Prinia bairdii,Prinia bairdii,Prinia bairdii
AVIBASE-AC892456,Prinia buchanani,Prinia buchanani,Prinia buchanani
AVIBASE-4FF9ECC8,Prinia cinereocapilla,Prinia cinereocapilla,Prinia cinereocapilla
AVIBASE-FD81168B,Prinia crinigera,Prinia crinigera,Prinia crinigera
AVIBASE-C67FD539,Prinia erythroptera,Prinia erythroptera,Heliolais erythropterus
AVIBASE-49F183EA,Prinia familiaris,Prinia familiaris,Prinia familiaris
AVIBASE-10988568,Prinia flavicans,Prinia flavicans,Prinia flavicans
AVIBASE-3745AE94,Prinia flaviventris,Prinia flaviventris,Prinia flaviventris
AVIBASE-1CB41EB5,Prinia fluviatilis,Prinia fluviatilis,Prinia fluviatilis
AVIBASE-F8885790,Prinia gracilis,Prinia gracilis,Prinia gracilis
AVIBASE-C29B19D7,Prinia hodgsonii,Prinia hodgsonii,Prinia hodgsonii
AVIBASE-36261312,Prinia hypoxantha,Prinia hypoxantha,Prinia hypoxantha
AVIBASE-465145E5,Prinia inornata,Prinia inornata,Prinia inornata
AVIBASE-0BF01CE3,Prinia khasiana,Prinia atrogularis,Prinia atrogularis
AVIBASE-4CDA27A3,Prinia maculosa,Prinia maculosa,Prinia maculosa
AVIBASE-843FF082,Prinia molleri,Prinia molleri,Prinia molleri
AVIBASE-DCC58CA1,Prinia polychroa,Prinia cooki,Prinia polychroa
AVIBASE-E6FA239A,Prinia polychroa,Prinia polychroa,Prinia polychroa
AVIBASE-892900C9,Prinia rufescens,Prinia rufescens,Prinia rufescens
AVIBASE-D8177CEC,Prinia rufifrons,Prinia rufifrons,Spiloptila rufifrons
AVIBASE-0E6F19BB,Prinia socialis,Prinia socialis,Prinia socialis
AVIBASE-319F6754,Prinia somalica,Prinia somalica,Prinia somalica
AVIBASE-8D5A3CB1,Prinia sonitans,Prinia flaviventris,Prinia flaviventris
AVIBASE-63F72CA7,Prinia subflava,Prinia subflava,Prinia subflava
AVIBASE-9F434A62,Prinia superciliaris,Prinia superciliaris,Prinia atrogularis
AVIBASE-7939B436,Prinia sylvatica,Prinia sylvatica,Prinia sylvatica
AVIBASE-5B2086A6,Prioniturus discurus,Prioniturus discurus,Prioniturus discurus
AVIBASE-379431D7,Prioniturus flavicans,Prioniturus flavicans,Prioniturus flavicans
AVIBASE-B6F6A196,Prioniturus luconensis,Prioniturus luconensis,Prioniturus luconensis
AVIBASE-00AECE2A,Prioniturus mada,Prioniturus mada,Prioniturus mada
AVIBASE-A14016B7,Prioniturus mindorensis,Prioniturus mindorensis,Prioniturus discurus
AVIBASE-1EA06986,Prioniturus montanus,Prioniturus montanus,Prioniturus montanus
AVIBASE-932EBDB4,Prioniturus platenae,Prioniturus platenae,Prioniturus platenae
AVIBASE-23917E7B,Prioniturus platurus,Prioniturus platurus,Prioniturus platurus
AVIBASE-003D8AAD,Prioniturus verticalis,Prioniturus verticalis,Prioniturus verticalis
AVIBASE-0EB4C4A1,Prioniturus waterstradti,Prioniturus waterstradti,Prioniturus waterstradti
AVIBASE-8387A208,Prionochilus maculatus,Prionochilus maculatus,Prionochilus maculatus
AVIBASE-27665659,Prionochilus olivaceus,Prionochilus olivaceus,Prionochilus olivaceus
AVIBASE-C52E5D09,Prionochilus percussus,Prionochilus percussus,Prionochilus percussus
AVIBASE-AB5413A0,Prionochilus plateni,Prionochilus plateni,Prionochilus plateni
AVIBASE-A6B4FA85,Prionochilus thoracicus,Prionochilus thoracicus,Prionochilus thoracicus
AVIBASE-9C17341F,Prionochilus xanthopygius,Prionochilus xanthopygius,Prionochilus xanthopygius
AVIBASE-98C0C634,Prionodura newtoniana,Amblyornis newtoniana,Prionodura newtoniana
AVIBASE-523B438A,Prionops alberti,Prionops alberti,Prionops alberti
AVIBASE-B1EF3E4F,Prionops caniceps,Prionops caniceps,Prionops caniceps
AVIBASE-A7E4E1E5,Prionops gabela,Prionops gabela,Prionops gabela
AVIBASE-3996ECD0,Prionops plumatus,Prionops plumatus,Prionops plumatus
AVIBASE-1F2F7323,Prionops poliolophus,Prionops poliolophus,Prionops poliolophus
AVIBASE-5B9EA71C,Prionops retzii,Prionops retzii,Prionops retzii
AVIBASE-1B2AF453,Prionops rufiventris,Prionops rufiventris,Prionops rufiventris
AVIBASE-E27EEDC5,Prionops scopifrons,Prionops scopifrons,Prionops scopifrons
AVIBASE-0FB04758,Priotelus temnurus,Priotelus temnurus,Priotelus temnurus
AVIBASE-ADC0F261,Probosciger aterrimus,Probosciger aterrimus,Probosciger aterrimus
AVIBASE-9058051F,Procarduelis nipalensis,Procarduelis nipalensis,Carpodacus nipalensis
AVIBASE-35EB45A0,Procellaria aequinoctialis,Procellaria aequinoctialis,Procellaria aequinoctialis
AVIBASE-843C1B86,Procellaria cinerea,Procellaria cinerea,Procellaria cinerea
AVIBASE-F2ED14C9,Procellaria conspicillata,Procellaria conspicillata,Procellaria conspicillata
AVIBASE-DB67DB1F,Procellaria parkinsoni,Procellaria parkinsoni,Procellaria parkinsoni
AVIBASE-9057992B,Procellaria westlandica,Procellaria westlandica,Procellaria westlandica
AVIBASE-756A7501,Procnias albus,Procnias albus,Procnias albus
AVIBASE-C5682CE4,Procnias averano,Procnias averano,Procnias averano
AVIBASE-B5B626C7,Procnias nudicollis,Procnias nudicollis,Procnias nudicollis
AVIBASE-7818C61C,Procnias tricarunculatus,Procnias tricarunculatus,Procnias tricarunculatus
AVIBASE-7884F0D6,Prodotiscus insignis,Prodotiscus insignis,Prodotiscus insignis
AVIBASE-8DB3F1A2,Prodotiscus regulus,Prodotiscus regulus,Prodotiscus regulus
AVIBASE-B20CDCE3,Prodotiscus zambesiae,Prodotiscus zambesiae,Prodotiscus zambesiae
AVIBASE-ECA64B18,Progne chalybea,Progne chalybea,Progne chalybea
AVIBASE-F8039EE7,Progne cryptoleuca,Progne cryptoleuca,Progne cryptoleuca
AVIBASE-EF170D7E,Progne dominicensis,Progne dominicensis,Progne dominicensis
AVIBASE-AF527712,Progne elegans,Progne elegans,Progne elegans
AVIBASE-13169BC5,Progne modesta,Progne modesta,Progne modesta
AVIBASE-D6494239,Progne murphyi,Progne murphyi,Progne murphyi
AVIBASE-0C028E2E,Progne sinaloae,Progne sinaloae,Progne sinaloae
AVIBASE-ACB9D1C6,Progne subis,Progne subis,Progne subis
AVIBASE-9BC43968,Progne tapera,Progne tapera,Progne tapera
AVIBASE-AEE09552,Promerops cafer,Promerops cafer,Promerops cafer
