"","SPEC","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"307","HAFL","STA_sd(hu_Ad",0.088,0.065,0.0033,0.2442,1.0001,4649,6381
"308","HAFL","STA_cor(Intercept,Ad",-0.9541,0.0654,-0.9991,-0.7811,1,5849,6335
"309","HAFL","STA_cor(hu_Intercept,hu_Ad",-0.3598,0.536,-0.9768,0.8552,1,6517,6906
"310","HAFL","year_sd(Intercept)",0.1273,0.0729,0.0076,0.2805,1.0006,4532,5277
"311","HAFL","year_sd(hu_Intercept)",0.2428,0.166,0.0112,0.6178,1.0002,5067,5616
"312","HAFL","sigma",0.6003,0.0354,0.5358,0.6746,1.0008,7171,7197
"313","HETH","Intercept",0.3033,0.0927,0.1201,0.4831,1.0002,7121,7525
"314","HETH","hu_Intercept",0.5007,0.1914,0.134,0.8801,1.0002,6889,6904
"315","HETH","Adult",-0.2215,0.0266,-0.2756,-0.1719,1.0005,6785,7132
"316","HETH","hu_Adult",-0.243,0.0566,-0.3612,-0.1396,1.0006,5953,6851
"317","HETH","STA_sd(Intercept)",0.372,0.0821,0.2224,0.553,1.0006,5919,7155
"318","HETH","STA_sd(Ad",0.1104,0.0222,0.0718,0.1593,1.0002,4356,6244
"319","HETH","STA_sd(hu_Intercept)",0.6969,0.2188,0.2817,1.1609,1.0001,4641,5671
"320","HETH","STA_sd(hu_Ad",0.1692,0.0794,0.0195,0.3329,1.0017,2089,3214
"321","HETH","STA_cor(Intercept,Ad",-0.7767,0.1436,-0.9671,-0.4196,1.0004,3914,4566
"322","HETH","STA_cor(hu_Intercept,hu_Ad",-0.2045,0.4705,-0.8525,0.8606,1.0007,2959,4452
"323","HETH","year_sd(Intercept)",0.0752,0.0494,0.0036,0.1862,1.0002,5299,6106
"324","HETH","year_sd(hu_Intercept)",0.2103,0.1394,0.0101,0.5102,1.0003,5284,6483
"325","HETH","sigma",0.5999,0.0256,0.552,0.6526,0.9998,6655,7550
"326","HEWA","Intercept",0.6935,0.1896,0.3104,1.0615,1.0006,6641,7269
"327","HEWA","hu_Intercept",-0.646,0.2965,-1.2407,-0.0673,0.9998,7803,7832
"328","HEWA","Adult",-0.1449,0.025,-0.1981,-0.1008,1.0004,6653,7536
"329","HEWA","hu_Adult",-0.1803,0.0815,-0.3602,-0.0432,1.0003,6580,6467
"330","HEWA","STA_sd(Intercept)",0.7475,0.1587,0.4823,1.1015,1.0003,5729,6464
"331","HEWA","STA_sd(Ad",0.066,0.0252,0.0192,0.1204,1.0007,4888,4268
"332","HEWA","STA_sd(hu_Intercept)",0.5287,0.338,0.0303,1.2764,1.0007,5232,6981
"333","HEWA","STA_sd(hu_Ad",0.2175,0.1029,0.0445,0.4435,1.0001,3542,4916
"334","HEWA","STA_cor(Intercept,Ad",-0.6716,0.2844,-0.968,0.0951,1.0002,6449,6776
"335","HEWA","STA_cor(hu_Intercept,hu_Ad",-0.0964,0.5068,-0.8865,0.9085,1.0012,2935,4485
"336","HEWA","year_sd(Intercept)",0.168,0.0834,0.0172,0.3367,1.0002,4443,6516
"337","HEWA","year_sd(hu_Intercept)",0.6701,0.2126,0.2732,1.12,0.9998,5907,6154
"338","HEWA","sigma",0.8728,0.0372,0.8028,0.948,0.9998,7315,7307
"339","HOFI","Intercept",0.1784,0.1484,-0.1139,0.4644,1.0001,5749,7412
"340","HOFI","hu_Intercept",1.2275,0.253,0.7608,1.7638,1.0004,7325,7935
"341","HOFI","Adult",-0.0757,0.0251,-0.1317,-0.0338,1.0008,3839,6755
"342","HOFI","hu_Adult",-0.5365,0.1076,-0.7723,-0.3495,1,7365,6439
"343","HOFI","STA_sd(Intercept)",0.4756,0.1573,0.1676,0.8011,1.0017,4423,4380
"344","HOFI","STA_sd(Ad",0.0625,0.0281,0.0101,0.1211,1.0016,2299,2933
"345","HOFI","STA_sd(hu_Intercept)",0.2414,0.1924,0.0108,0.718,1,7509,7718
"346","HOFI","STA_sd(hu_Ad",0.3574,0.1051,0.1936,0.5996,0.9999,5122,6472
"347","HOFI","STA_cor(Intercept,Ad",-0.1561,0.364,-0.7053,0.7193,1.0009,3465,4269
"348","HOFI","STA_cor(hu_Intercept,hu_Ad",-0.1171,0.5597,-0.9569,0.9248,1.0027,1466,3506
"349","HOFI","year_sd(Intercept)",0.1148,0.0805,0.0057,0.2992,0.9999,6084,6754
"350","HOFI","year_sd(hu_Intercept)",0.4406,0.2354,0.0327,0.9352,1.0002,5283,5984
"351","HOFI","sigma",0.7822,0.0451,0.7,0.8756,1.0001,5822,7728
"352","HOWA","Intercept",-0.1498,0.1465,-0.4494,0.1289,1.0003,6090,7501
"353","HOWA","hu_Intercept",1.002,0.25,0.5254,1.5259,1.0008,6958,7631
"354","HOWA","Adult",-0.1165,0.0236,-0.1658,-0.0726,1.0009,4024,5868
"355","HOWA","hu_Adult",-0.3856,0.0854,-0.5731,-0.2383,1.001,6372,7073
"356","HOWA","STA_sd(Intercept)",0.4862,0.1409,0.2156,0.7747,1.0009,3832,4047
"357","HOWA","STA_sd(Ad",0.0818,0.0221,0.0413,0.1285,1.002,2751,3438
"358","HOWA","STA_sd(hu_Intercept)",0.3088,0.2388,0.0119,0.8867,1.0002,6043,7424
"359","HOWA","STA_sd(hu_Ad",0.2632,0.0821,0.1288,0.4522,1.0025,3425,5281
"360","HOWA","STA_cor(Intercept,Ad",-0.7746,0.1907,-0.9596,-0.3035,1.0019,3460,3307
"361","HOWA","STA_cor(hu_Intercept,hu_Ad",-0.0289,0.5519,-0.9408,0.9392,1.0029,1265,3095
"362","HOWA","year_sd(Intercept)",0.2431,0.0677,0.1215,0.3892,1.0003,5873,6694
