"","SPEC","Parameter","Estimate","Est.Error","l-95% CI","u-95% CI","Rhat","Bulk_ESS","Tail_ESS"
"643","SWTH","STA_sd(Ad",0.0498,0.0085,0.0341,0.0682,1.001,1554,3286
"644","SWTH","STA_sd(hu_Intercept)",1.0103,0.2418,0.5865,1.5339,1.0008,4016,6079
"645","SWTH","STA_sd(hu_Ad",0.049,0.0213,0.0078,0.0923,1.0026,1614,2528
"646","SWTH","STA_cor(Intercept,Ad",-0.6649,0.1071,-0.8323,-0.414,1.0006,1930,4313
"647","SWTH","STA_cor(hu_Intercept,hu_Ad",-0.1792,0.4528,-0.8024,0.8601,1.0019,2460,3876
"648","SWTH","year_sd(Intercept)",0.0936,0.0392,0.0137,0.1742,1,3894,3432
"649","SWTH","year_sd(hu_Intercept)",0.1986,0.1144,0.013,0.4395,0.9999,5389,5936
"650","SWTH","sigma",0.6545,0.0173,0.6216,0.6892,0.9998,7039,7256
"651","TUTI","Intercept",0.8541,0.0569,0.7412,0.9633,1.0005,7860,7779
"652","TUTI","hu_Intercept",0.4065,0.1617,0.0909,0.7261,1.0008,7177,7325
"653","TUTI","Adult",-0.2601,0.0204,-0.2996,-0.2212,1.0004,6180,7058
"654","TUTI","hu_Adult",-0.7138,0.0872,-0.8938,-0.5518,1.0006,5655,6478
"655","TUTI","STA_sd(Intercept)",0.2549,0.0646,0.1164,0.3759,1.0002,3989,3186
"656","TUTI","STA_sd(Ad",0.1033,0.0178,0.0707,0.14,1.0005,2668,4363
"657","TUTI","STA_sd(hu_Intercept)",0.4693,0.2324,0.0379,0.9027,1.0013,2925,4520
"658","TUTI","STA_sd(hu_Ad",0.3847,0.0782,0.2468,0.553,1.0023,3153,5146
"659","TUTI","STA_cor(Intercept,Ad",-0.37,0.2489,-0.7188,0.2516,1.0006,2151,1899
"660","TUTI","STA_cor(hu_Intercept,hu_Ad",-0.224,0.3891,-0.7838,0.736,1.0037,1473,1835
"661","TUTI","year_sd(Intercept)",0.0837,0.0409,0.0085,0.1688,1.0013,4007,4859
"662","TUTI","year_sd(hu_Intercept)",0.3894,0.1175,0.1744,0.6433,1.0007,5169,6007
"663","TUTI","sigma",0.6605,0.0174,0.6276,0.6952,1,6975,7602
"664","VEER","Intercept",-0.3562,0.1128,-0.5871,-0.1356,1.0006,7102,7557
"665","VEER","hu_Intercept",0.1658,0.2084,-0.2438,0.5743,0.9999,8275,7163
"666","VEER","Adult",-0.1132,0.0168,-0.1488,-0.0826,1.0007,5493,6985
"667","VEER","hu_Adult",-0.1235,0.0299,-0.1851,-0.0662,1.0003,7539,7444
"668","VEER","STA_sd(Intercept)",0.4241,0.1013,0.2292,0.6293,1.0002,5904,6164
"669","VEER","STA_sd(Ad",0.0638,0.0157,0.0354,0.0974,1.0007,3872,5216
"670","VEER","STA_sd(hu_Intercept)",0.355,0.2302,0.0169,0.8544,1.0012,4035,6130
"671","VEER","STA_sd(hu_Ad",0.0778,0.0355,0.0088,0.1501,1.0033,1942,3689
"672","VEER","STA_cor(Intercept,Ad",-0.8903,0.1158,-0.9958,-0.5839,1.0014,3327,4561
"673","VEER","STA_cor(hu_Intercept,hu_Ad",0.0449,0.5347,-0.8808,0.9487,1.0043,1751,2789
"674","VEER","year_sd(Intercept)",0.1329,0.0582,0.0189,0.2488,1.0001,4183,4536
"675","VEER","year_sd(hu_Intercept)",0.2265,0.1522,0.0101,0.5657,1.0001,5210,6526
"676","VEER","sigma",0.6336,0.0257,0.5864,0.6854,0.9998,7593,7606
"677","WAVI","Intercept",-0.4506,0.1609,-0.7656,-0.1415,1,6326,7502
"678","WAVI","hu_Intercept",0.654,0.1922,0.2884,1.0369,1.0006,7979,7702
"679","WAVI","Adult",-0.1071,0.0182,-0.1449,-0.0733,1.0001,5645,6854
"680","WAVI","hu_Adult",-0.1008,0.0178,-0.1369,-0.0675,1.0005,7294,7085
"681","WAVI","STA_sd(Intercept)",0.7192,0.1251,0.5004,0.9908,1.0003,5721,7005
"682","WAVI","STA_sd(Ad",0.0785,0.0155,0.0514,0.1121,1.0001,4447,6385
"683","WAVI","STA_sd(hu_Intercept)",0.2312,0.1563,0.0098,0.5779,1.0003,6138,6932
"684","WAVI","STA_sd(hu_Ad",0.0347,0.0196,0.0028,0.0767,1,3671,5420
"685","WAVI","STA_cor(Intercept,Ad",-0.8494,0.0892,-0.9601,-0.6289,0.9997,5461,6664
"686","WAVI","STA_cor(hu_Intercept,hu_Ad",-0.1047,0.5735,-0.9594,0.9251,1.0006,4083,5857
"687","WAVI","year_sd(Intercept)",0.2437,0.0672,0.1238,0.39,1,5644,5895
"688","WAVI","year_sd(hu_Intercept)",0.5896,0.1455,0.3365,0.907,1,5922,7253
"689","WAVI","sigma",0.6628,0.0283,0.6099,0.7205,0.9999,7478,7588
"690","WEFL","Intercept",0.4538,0.117,0.2247,0.6853,0.9999,6596,7421
"691","WEFL","hu_Intercept",-0.165,0.2586,-0.6657,0.346,1.0002,7540,7709
"692","WEFL","Adult",-0.2123,0.0227,-0.2583,-0.1693,0.9997,6084,6909
"693","WEFL","hu_Adult",-0.2347,0.0589,-0.3591,-0.1291,1,6296,6901
"694","WEFL","STA_sd(Intercept)",0.6473,0.093,0.4842,0.8471,1.0009,6278,7103
"695","WEFL","STA_sd(Ad",0.1228,0.0184,0.0903,0.1625,1.0011,4249,6579
"696","WEFL","STA_sd(hu_Intercept)",1.1441,0.2481,0.6996,1.6867,1,6043,7006
"697","WEFL","STA_sd(hu_Ad",0.2092,0.0608,0.1064,0.3437,1.0001,4350,6251
"698","WEFL","STA_cor(Intercept,Ad",-0.6804,0.106,-0.8435,-0.4324,1.0015,4417,6640
"699","WEFL","STA_cor(hu_Intercept,hu_Ad",-0.0813,0.2933,-0.6036,0.5212,0.9998,4528,6315
"700","WEFL","year_sd(Intercept)",0.1838,0.0481,0.1003,0.2881,1.0001,6106,7006
"701","WEFL","year_sd(hu_Intercept)",0.3965,0.1544,0.0868,0.7138,1.0008,4276,4434
"702","WEFL","sigma",0.6554,0.0211,0.6152,0.6988,1.0001,7609,7262
"703","WETA","Intercept",-0.0518,0.1434,-0.3355,0.2295,1.0006,5795,6988
"704","WETA","hu_Intercept",0.2839,0.2918,-0.2979,0.8753,1.0002,6848,7233
"705","WETA","Adult",-0.0826,0.0165,-0.1185,-0.0543,0.9999,4851,5532
"706","WETA","hu_Adult",-0.2133,0.0592,-0.3452,-0.1132,1.0004,5002,6154
"707","WETA","STA_sd(Intercept)",0.5619,0.1089,0.378,0.8049,1.0004,5547,7063
"708","WETA","STA_sd(Ad",0.0354,0.0187,0.0036,0.0778,1.0007,2919,3705
"709","WETA","STA_sd(hu_Intercept)",0.9659,0.2714,0.4807,1.5285,1.0006,5206,5673
"710","WETA","STA_sd(hu_Ad",0.1644,0.0633,0.0712,0.313,1.0015,3187,5291
"711","WETA","STA_cor(Intercept,Ad",-0.5655,0.3478,-0.9663,0.4047,0.9999,5672,5490
"712","WETA","STA_cor(hu_Intercept,hu_Ad",-0.4438,0.2863,-0.8851,0.2144,1.0004,5571,6040
"713","WETA","year_sd(Intercept)",0.2357,0.0757,0.0853,0.3895,0.9997,5040,3930
"714","WETA","year_sd(hu_Intercept)",0.6408,0.1901,0.2917,1.0488,1.0002,5229,5204
"715","WETA","sigma",0.7686,0.0341,0.7062,0.8381,1.0004,7554,7435
"716","WEVI","Intercept",-0.3203,0.1174,-0.5541,-0.0909,0.9999,5562,6860
"717","WEVI","hu_Intercept",0.4352,0.2027,0.0367,0.8294,1.0003,7636,7621
"718","WEVI","Adult",-0.0798,0.0127,-0.106,-0.0566,1.0006,4135,5548
"719","WEVI","hu_Adult",-0.207,0.031,-0.2725,-0.151,1.0004,5284,7064
"720","WEVI","STA_sd(Intercept)",0.7228,0.1007,0.5428,0.9376,1.0001,4861,6463
"721","WEVI","STA_sd(Ad",0.0686,0.0108,0.0498,0.0914,1.0006,3057,5454
"722","WEVI","STA_sd(hu_Intercept)",0.709,0.2804,0.1568,1.2738,1.0017,3679,3382
"723","WEVI","STA_sd(hu_Ad",0.0906,0.0391,0.0154,0.1696,1.0021,1619,2825
"724","WEVI","STA_cor(Intercept,Ad",-0.6342,0.0974,-0.7933,-0.4162,1.0003,3566,5414
"725","WEVI","STA_cor(hu_Intercept,hu_Ad",-0.2487,0.4892,-0.8892,0.8688,1.0022,1868,3593
"726","WEVI","year_sd(Intercept)",0.16,0.0536,0.0612,0.2733,1.0008,4931,5199
"727","WEVI","year_sd(hu_Intercept)",0.3216,0.1585,0.0295,0.6457,1.0008,4155,4206
"728","WEVI","sigma",0.6502,0.0219,0.6084,0.6943,1.0002,6691,7238
"729","WEWP","Intercept",0.0894,0.1155,-0.1408,0.3118,1.0001,7307,7540
"730","WEWP","hu_Intercept",0.5088,0.2278,0.0667,0.9498,1.0001,7187,6970
"731","WEWP","Adult",-0.1988,0.0201,-0.2433,-0.164,1,6154,6342
"732","WEWP","hu_Adult",-0.1179,0.0418,-0.2047,-0.0385,1.0001,7820,7417
"733","WEWP","STA_sd(Intercept)",0.3263,0.1028,0.1467,0.5538,1.0003,5958,6520
"734","WEWP","STA_sd(Ad",0.0312,0.0232,0.0014,0.0868,0.9998,3739,5612
"735","WEWP","STA_sd(hu_Intercept)",0.2145,0.1631,0.0088,0.6066,1.0005,6917,7197
"736","WEWP","STA_sd(hu_Ad",0.0682,0.0418,0.0039,0.1636,0.9999,4865,6366
"737","WEWP","STA_cor(Intercept,Ad",-0.2896,0.5287,-0.9495,0.8737,0.9997,6551,7519
"738","WEWP","STA_cor(hu_Intercept,hu_Ad",-0.1045,0.5678,-0.9574,0.9262,0.9998,5457,6465
"739","WEWP","year_sd(Intercept)",0.0886,0.0606,0.0046,0.2252,1.0002,5665,7233
"740","WEWP","year_sd(hu_Intercept)",0.5355,0.1877,0.173,0.9305,1.0007,5000,4671
"741","WEWP","sigma",0.5658,0.0311,0.5092,0.6299,1.0006,8649,7614
"742","WIWA","Intercept",0.2001,0.103,-0.0061,0.3995,1.0003,7535,7729
"743","WIWA","hu_Intercept",-0.3375,0.2785,-0.9027,0.1846,1.0008,5915,7471
"744","WIWA","Adult",-0.1014,0.0126,-0.1276,-0.0778,1.0008,3727,5373
"745","WIWA","hu_Adult",-0.207,0.042,-0.2958,-0.1328,1.0002,4240,6017
"746","WIWA","STA_sd(Intercept)",0.5828,0.0811,0.4362,0.7581,1.0004,5920,7060
"747","WIWA","STA_sd(Ad",0.0785,0.0121,0.0566,0.1037,1.0011,2172,4112
"748","WIWA","STA_sd(hu_Intercept)",0.9194,0.2806,0.3878,1.5091,1.0005,4341,4514
"749","WIWA","STA_sd(hu_Ad",0.1534,0.0447,0.0758,0.2504,1.0007,2533,4354
"750","WIWA","STA_cor(Intercept,Ad",-0.3874,0.1541,-0.653,-0.0471,1.0006,1700,2969
"751","WIWA","STA_cor(hu_Intercept,hu_Ad",-0.0568,0.3765,-0.6343,0.8106,1.002,2003,2514
"752","WIWA","year_sd(Intercept)",0.2206,0.0467,0.1422,0.3251,1.0005,5807,6942
"753","WIWA","year_sd(hu_Intercept)",0.6594,0.1563,0.3915,0.9967,1.0001,6220,7516
"754","WIWA","sigma",0.7093,0.0186,0.6736,0.7481,1.0001,8039,7761
"755","WOTH","Intercept",-0.0191,0.0689,-0.156,0.1112,1.0005,5674,7186
"756","WOTH","hu_Intercept",0.5456,0.1271,0.2969,0.793,1.0003,7637,7682
"757","WOTH","Adult",-0.1481,0.0137,-0.1763,-0.1226,1.0006,5145,6812
"758","WOTH","hu_Adult",-0.2346,0.0283,-0.2938,-0.1831,1,6707,7520
"759","WOTH","STA_sd(Intercept)",0.338,0.0743,0.1897,0.4844,1.0009,4316,4423
"760","WOTH","STA_sd(Ad",0.0825,0.012,0.0605,0.1077,1.0007,3580,4889
"761","WOTH","STA_sd(hu_Intercept)",0.2661,0.1738,0.0123,0.6483,1.0002,3175,5472
"762","WOTH","STA_sd(hu_Ad",0.1065,0.0288,0.0519,0.1657,1.0014,2239,5398
"763","WOTH","STA_cor(Intercept,Ad",-0.7732,0.1076,-0.9318,-0.5137,1.0031,2363,2762
"764","WOTH","STA_cor(hu_Intercept,hu_Ad",0.1645,0.4996,-0.8086,0.9539,1.0013,990,1192
"765","WOTH","year_sd(Intercept)",0.0363,0.0275,0.0015,0.1036,1,6398,6841
"766","WOTH","year_sd(hu_Intercept)",0.1293,0.0886,0.0061,0.3284,0.9999,6325,6608
"767","WOTH","sigma",0.6507,0.0185,0.6153,0.6885,1,7049,7437
"768","WREN","Intercept",0.6631,0.1427,0.3812,0.9466,1,7210,7426
"769","WREN","hu_Intercept",-0.504,0.4648,-1.4452,0.3711,1.0002,6282,7325
"770","WREN","Adult",-0.1134,0.0227,-0.1621,-0.0728,1.0005,6119,6614
"771","WREN","hu_Adult",-0.4918,0.1539,-0.8316,-0.2262,1.0006,6257,7100
"772","WREN","STA_sd(Intercept)",0.6535,0.1181,0.451,0.9103,1.0013,5650,7167
"773","WREN","STA_sd(Ad",0.0825,0.0248,0.0426,0.14,1.0016,3638,5386
"774","WREN","STA_sd(hu_Intercept)",1.4492,0.4167,0.7688,2.385,1.0002,6264,7410
"775","WREN","STA_sd(hu_Ad",0.5158,0.1593,0.2685,0.886,1.0002,4552,6760
"776","WREN","STA_cor(Intercept,Ad",-0.3836,0.2153,-0.7259,0.1015,1.0012,5323,6922
"777","WREN","STA_cor(hu_Intercept,hu_Ad",-0.6093,0.2051,-0.9038,-0.1074,1.0005,5528,6671
"778","WREN","year_sd(Intercept)",0.183,0.0475,0.0978,0.2858,1.0006,6441,6536
"779","WREN","year_sd(hu_Intercept)",0.5474,0.2409,0.0759,1.0542,1.0007,5268,5046
"780","WREN","sigma",0.6032,0.0234,0.5597,0.6516,1.0001,7598,7167
"781","YBCH","Intercept",-0.4073,0.0995,-0.609,-0.2143,1.0004,6014,7453
"782","YBCH","hu_Intercept",0.7855,0.1993,0.3861,1.1679,0.9998,7535,6950
"783","YBCH","Adult",-0.0876,0.0118,-0.1117,-0.0656,1.0009,4424,6331
"784","YBCH","hu_Adult",-0.2026,0.0304,-0.2651,-0.1467,1,6101,6778
"785","YBCH","STA_sd(Intercept)",0.3933,0.1048,0.1829,0.6017,0.9998,4079,4040
"786","YBCH","STA_sd(Ad",0.0533,0.0102,0.0358,0.0755,1.0006,2430,4922
"787","YBCH","STA_sd(hu_Intercept)",0.4428,0.2966,0.02,1.1084,1.0005,3743,5357
"788","YBCH","STA_sd(hu_Ad",0.1194,0.0302,0.0682,0.1891,1.0006,2690,4877
"789","YBCH","STA_cor(Intercept,Ad",-0.654,0.1605,-0.8796,-0.2651,1.0011,2364,4024
"790","YBCH","STA_cor(hu_Intercept,hu_Ad",-0.3656,0.4543,-0.952,0.7941,1.0035,1089,1721
"791","YBCH","year_sd(Intercept)",0.0578,0.041,0.0024,0.1512,1.0004,5546,6546
"792","YBCH","year_sd(hu_Intercept)",0.227,0.1406,0.0126,0.5288,1.0002,4943,5722
"793","YBCH","sigma",0.6236,0.0221,0.582,0.668,1,7378,7038
"794","YEWA","Intercept",-0.3607,0.0824,-0.523,-0.202,0.9998,6950,6946
"795","YEWA","hu_Intercept",0.3907,0.1564,0.0688,0.6925,0.9999,6447,7266
"796","YEWA","Adult",-0.048,0.0073,-0.0637,-0.0349,1.0002,2684,4934
"797","YEWA","hu_Adult",-0.2197,0.025,-0.2719,-0.174,0.9999,5697,7306
"798","YEWA","STA_sd(Intercept)",0.5339,0.0711,0.4041,0.6823,1,5265,6883
"799","YEWA","STA_sd(Ad",0.038,0.0075,0.0246,0.0543,1.0008,1463,2810
"800","YEWA","STA_sd(hu_Intercept)",0.5535,0.2164,0.0884,0.9652,1.0012,3719,3024
"801","YEWA","STA_sd(hu_Ad",0.1009,0.0224,0.0637,0.1501,1.0001,3965,5934
"802","YEWA","STA_cor(Intercept,Ad",-0.5192,0.1406,-0.7368,-0.197,1.0008,1749,3861
"803","YEWA","STA_cor(hu_Intercept,hu_Ad",-0.2343,0.3535,-0.7471,0.6416,1.0004,2241,2905
"804","YEWA","year_sd(Intercept)",0.1022,0.0417,0.0175,0.1876,0.9999,4383,4283
"805","YEWA","year_sd(hu_Intercept)",0.2178,0.1179,0.0152,0.4589,1.0003,4814,6246
"806","YEWA","sigma",0.7791,0.0182,0.7441,0.8156,1.0006,7526,7335
